Nome;Pergunta;Resposta
Anatensol;Há alguma condição específica em que o uso de Anatensol é desaconselhado?;A flufenazina é contra-indicada em pacientes com história de hipersensibilidade aos ingredientes ativos e inativos. Pacientes com história de sensibilidade a outras fenotiazinas devem ser observados com cautela, visto que pode ocorrer sensibilidade cruzada. Como com as demais fenotiazinas, a flufenazina é contra-indicada em pacientes com suspeita ou diagnóstico estabelecido de lesão cerebral subcortical, em pacientes recebendo doses elevadas de depressores do sistema nervoso central (álcool, barbitúricos, narcóticos, hipnóticos, etc.) e em estado comatoso ou de depressão severa. A flufenazina não deve ser usada em pacientes com discrasia sangüínea ou lesão hepática.
Ancloric comprimidos;Em que situações médicas é recomendado o uso de Ancloric comprimidos?;O Ancloric é uma combinação de duas substâncias ativas, o cloridrato de amilorida e a hidroclorotiazida, que é indicado para regular os níveis normais de potássio no sangue, para o tratamento da pressão alta, edema, ou para casos de acúmulo de água no abdômen devido a cirrose, em adultos.
Ancloric comprimidos;De que maneira Ancloric comprimidos deve ser administrado?;A dose recomendada de Ancloric comprimidos para adultos é de 1 comprimido, 50 mg/5 mg, por dia, para o tratamento da pressão alta, de inchaços e de cirrose hepática com ascite.As doses a administrar de Ancloric comprimidos devem ser indicadas pelo médico, uma vez que vão depender do tipo de doença ou problema a tratar.
Ancloric comprimidos;Quais são os possíveis efeitos colaterais associados a Ancloric comprimidos?;Alguns dos efeitos colaterais de Ancloric incluem dor de cabeça, fraqueza, náusea, falta ou perda de apetite, erupção cutânea ou tontura.
Ancloric comprimidos;Em que circunstâncias eu não deveria utilizar Ancloric comprimidos?;O Ancloric está contraindicado para pacientes com níveis elevados de potássio no sangue ou que estejam a tomar outros fármacos ou suplementos para aumentar a quantidade de potássio no sangue, pacientes com doença renal e para pacientes alérgicos a derivados da Sulfonamida, ao Cloridrato de Amilorida, à Hidroclorotiazida ou a outros componentes da fórmula.
Ancloric comprimidos;Qual é o mecanismo de ação de Ancloric comprimidos?;Ancloric tem na sua composição Cloridrato de amilorida, responsável por permitir que os rins deixem passar mais água e sal, retendo assim mais potássio.
Ancoron;Qual é a finalidade do medicamento Ancoron?;"Ancoron é indicado para o controle das seguintes arritmias: arritmias ventriculares; arritmias supraventriculares (flutter atrial, fibrilação atrial, taquicardia supraventricular); alterações do ritmo cardíaco associadas à síndrome de Wolff-Parkinson-White."
Ancoron;Quais são as instruções para o uso correto de Ancoron?;Antes de iniciar o tratamento com Ancoron​ informe o seu médico sobre todas as suas condições de saúde: problemas respiratórios, problemas de fígado, alterações na glândula tireóide, problemas de pressão arterial.
Ancoron;Quais são os possíveis efeitos colaterais associados a Ancoron?;Antes e durante o tratamento com Ancoron você deverá ser submetido a avaliação clínica, exames de sangue, raios X de tórax e exame dos olhos.
Ancoron;Em que circunstâncias eu não deveria utilizar Ancoron?;"Este medicamento não deve ser usado em caso de hipersensibilidade ao cloridrato de amiodarona, a qualquer componente da formulação ou ao iodo; doenças da tireóide; e alguns tipos de doenças cardíacas."
Ancoron;Qual é o mecanismo de ação de Ancoron?;Ancoron é um medicamento antiarrítmico que contém cloridrato de amiodarona.
Andolba;Em que situações médicas é recomendado o uso de Andolba?;Andolba é indicado para o alivio da coceira e da dor, no tratamento de queimaduras solares, feridas na pele, abrasões, picada de inseto, queimaduras leves, no pós-episiotomia e hemorroidectomia e no tratamento e prevenção de infecções em pequenos ferimentos da pele, arranhaduras ou queimaduras, em adultos.
Andolba;Quais são as instruções para o uso correto de Andolba?;Andolba deve ser aplicado no local a tratar, do seguinte modo: segurar o tubo a uma distancia de 15 a 30 cm do local a aplicar, apontar para a região afetada e acionar a válvula durante alguns segundos e aguardar a total absorção do produto. Em caso de necessidade de aplicar no rosto, deve aplicar primeiro Andolba​ na palma da mão e só depois espalhar no local a tratar. Andolba deve ser aplicado 3 a 4 vezes por dia, durante um período máximo de 7 dias ou de acordo com indicação médica.
Andolba;Quais são os potenciais efeitos indesejados de Andolba?;Os principais efeitos colaterais de Andolbe podem incluir reações de alergia a algum dos componentes da formula, com sintomas como coceira, vermelhidão, inchaço ou urticária na pele.
Andolba;Quais são as contraindicações para Andolba?;Andolba está contraindicado para crianças com menos de 12 anos de idade e pacientes com alergia à Benzocaína, ao Mentol, ao Cloreto de Benzetônio, à Benzoxiquina ou a algum outros componente da fórmula. Além disso, a administração de Andolba também esta contraindicada em pele ferida, rachada, gravemente queimada ou infectada.
Andolba;Como funciona Andolba?;Andolba é um medicamento com que tem na sua composição Benzocaína, Mentol, Cloreto de Benzetônio e Benzoxiquina, composto com propriedades anti-sépticas, antipruriginosas e anestésicas. Andolba tem um inicio de ação rápido e a Menta presente na sua composição dilata os vasos sanguíneos superficiais, proporcionando uma sensação de frescor na pele.
Andriodermol;Para que serve Andriodermol?;Andriodermol líquido ou em pó é indicado para o tratamento de micoses nas unhas e na superfície da pele, tratando as micoses e aliviando os sintomas de coceira e irritação local.
Andriodermol;De que maneira Andriodermol deve ser administrado?;Geralmente, é recomendado que aplique Andriodermol em líquido ou em pó sobre a área afetada, 2 vezes por dia. A aplicação deve continuar por até 2 semanas após os sintoma terem desaparecido.
Andriodermol;Quais os males que Andriodermol pode me causar?;Alguns dos efeitos colaterais de Andriodermol podem incluir irritações no local de aplicação como vermelhidão, coceira ou urticária na pele.
Andriodermol;Em que circunstâncias eu não deveria utilizar Andriodermol?;Andriodermol está contraindicado para pacientes com alergia ao Ácido undecilênico, ao Undecilenato de zinco, ao Propionato de cálcio, ao Hexilresorcinol ou a algum dos componentes da fórmula.
Andriodermol;Qual é o mecanismo de ação de Andriodermol?;Andriodermol é um medicamento antimicótico que tem na sua composição Ácido undecilênico, Undecilenato de zinco, Propionato de cálcio e Hexilresorcinol, compostos capazes de tratar micoses nas unhas e na superfície da pele. Estes compostos apresentam propriedades fungicida, fungistática, bacteriostática e bactericida, e são ativos contra alguns fungos patogênicos, incluindo Epidermophyton, Trichophyton e Microsporum sp.
Androsten;Qual é o propósito principal de Androsten na área da saúde?;Androsten é um medicamento fitoterápico indicado para melhorar o desiquilíbrio hormonal e aumentar a produção de espermatozoides, no tratamento de alterações das funções sexuais causadas pela baixa concentração de dehidroepiandrosterona - DHEA, em adultos.
Androsten;De que maneira Androsten deve ser administrado?;Os comprimidos de Androsten devem ser engolidos com água, sem partir ou mastigar.
Androsten;Quais são os possíveis efeitos colaterais associados a Androsten?;Alguns dos efeitos colaterais de Androsten incluem irritação no estômago e refluxo.
Androsten;Quando não devo usar Androsten?;Androsten está contraindicado paramulheres grávidas, crianças e para pacientes com alergia à Protodioscina​ ou a outros componentes da fórmula.
Androsten;Como funciona Androsten?;Androsten é um medicamento que possui na sua composição Protodioscina, um medicamento que não só eleva os níveis de deidroepiandrosterona - DHEA no organismo, como também simula a ação da enzima 5-α-redutase, a qual converte a testosterona na sua forma ativa dehidrotestosterona - DHT, um hormônio que possui um importante papel na formação das células sanguíneas e no desenvolvimento muscular. Além disso, Androsten estimula também as células germinativas e de Sertoli, o que resulta no aumento da produção de espermatozoides, em pacientes com alteração das funções sexuais, devido a uma baixa concentração do hormônio dehidroepiandrosterona - DHEA no organismo.
Androxon;O que Androxon pretende tratar?;Na terapia de reposição da testosterona nos distúrbios hipogonadais masculinos, como: após castração, eunucoidismo, hipopituitarismo, impotência de origem endócrina, sintomas do climatério masculino, tais como: diminuição da libido e das atividades mental e física, certos tipos de infertilidade devido a distúrbios de espermatogênese.
Androxon;Quais são as instruções para o uso correto de Androxon?;A dose de Androxon deve ser determinada pelo médico, de acordo com a gravidade dos sintomas e a resposta individual do paciente.
Androxon;Quais são os riscos para a saúde relacionados ao uso de Androxon?;Informe seu médico sobre o aparecimento de reações desagradáveis, especialmente se forem graves ou persistentes.
Androxon;Em que circunstâncias eu não deveria utilizar Androxon?;Pacientes com hipersensibilidade aos componentes da fórmula.
Androxon;Qual é o mecanismo de ação de Androxon?;Androxon, quando corretamente utilizado, aumenta os níveis dos hormônios sexuais masculinos no sangue.
Anestalcon 0,5%;Qual é o propósito principal de Anestalcon 0,5% na área da saúde?;Anestésico tópico nos seguintes procedimentos oftálmicos: tonometria, remoção de corpos estranhos e suturas de córnea, raspagem conjuntival para fins diagnósticos e exames gonioscópicos. É também indicado, como anestésico tópico antes de cirurgias como extração de catarata.
Anestalcon 0,5%;Como usar Anestalcon 0,5%?;Anestesias prolongadas como em extração de catarata: instilar 1 gota a cada 5 a 10 minutos (de 5 a 7 doses). Remoção de suturas: instilar 1 ou 2 gotas 2 ou 3 minutos antes do procedimento. Remoção de corpos estranhos: instilar 1 ou 2 gotas antes da intervenção. Tonometria: instilar 1 ou 2 gotas imediatamente antes do procedimento.
Anestalcon 0,5%;Quando não devo usar Anestalcon 0,5%?;Pacientes com hipersensibilidade conhecida ao componente da fórmula. Este produto não deve ser prescrito para uso pelo próprio paciente.
Anestésico;O que Anestésico pretende tratar?;Anestesia do globo ocular em cirurgias, retirada de corpos estranhos corneanos e conjuntivais e procedimentos diagnósticos.
Anestésico;Como usar Anestésico?;Instilar 1 gota no saco conjuntival inferior, a critério médico. - Superdosagem: em caso de superdosagem deve-se instituir sem demora o tratamento sintómatico adequado.
Anestésico;Quais são os riscos para a saúde relacionados ao uso de Anestésico?;Ocasionalmente podem ocorrer reações alérgicas locais. O uso prolongado pode danificar a córnea e retardar a cicatrização ocular.
Anestésico;Quando não devo usar Anestésico?;Hipersensibilidade aos componentes da fórmula. O produto não deve ser prescrito para uso pelo paciente sem supervisão médica. A tetracaína inibe o efeito bacteriostático das sulfamidas, não sendo recomendável o emprego simultâneo. Não utilizar na ceratomia radial, pois o efeito midriático da fenilefrina provoca distorção nos parâmetros de corte.
Anfugitarin Creme;Para que serve Anfugitarin Creme?;Anfugitarin creme é indicado para infeções fúngicas da vagina e da pele circundante, no tratamento de diversos sintomas como vermelhidão, corrimento esbranquiçado ou coceira, em adultos.
Anfugitarin Creme;Quais são as orientações específicas para utilizar Anfugitarin Creme?;Utilizar um aplicador cheio de creme, cerca de 5 g de creme, 1 vez por dia, de preferência ao deitar, durante 14 dias consecutivos. O creme vaginal deve ser aplicado profundamente na vagina e de preferência fora do período menstrual.​
Anfugitarin Creme;Quais os males que Anfugitarin Creme pode me causar?;Alguns dos efeitos colaterais de Anfugitarin creme podem incluir irritação vaginal, coceira, vermelhidão e sensação de ardor no local da aplicação, principalmente no inicio do tratamento.
Anfugitarin Creme;Quais são as contraindicações para Anfugitarin Creme?;Anfugitarin está contraindicado para pessoas com alergia ao Nitrato de Miconazol ou a outros componentes da fórmula.
Anfugitarin Creme;Quais são os princípios do funcionamento de Anfugitarin Creme?;Anfugitarin é um medicamento com propriedades antimicóticas, capaz de combater fungos sensíveis ao Nitrato de Miconazol​.
Angeliq;O que Angeliq pretende tratar?;O Angeliq é indicado na terapia de reposição hormonal para o tratamento de sintomas característicos da pós-menopausa há mais de um ano, tais como ondas de calor e suor excessivo, distúrbios do sono, comportamento depressivo, nervosismo e sinais de involução da bexiga e dos órgãos genitais.Além disso, dependendo do seu histórico clínico e estilo de vida, também pode ser usado na prevenção da osteoporose em mulheres que são mais predispostas ao desenvolvimento dessa doença, quando atingem uma idade mais avançada.
Angeliq;Quais são as instruções para o uso correto de Angeliq?;No caso da pessoa não ter utilizado estrogênio no mês anterior ou se estiver mudando de um medicamento contendo associação de uso contínuo, pode iniciar o tratamento com Angeliq em qualquer dia.A dose usual é de um comprimido ao dia, de preferência à mesma hora.Caso a pessoa se esqueça de tomar um comprimido, deve tomá-lo assim que possível. No entanto, se passaram mais de 24 horas, não se deve ingerir o comprimido esquecido.
Angeliq;Quais os males que Angeliq pode me causar?;Durante os primeiros meses de tratamento, pode ocorrer dor nas mamas e sangramento vaginal em períodos inesperados, que normalmente desaparecem com a continuação do tratamento.
Angeliq;Há alguma condição específica em que o uso de Angeliq é desaconselhado?;Este remédio não deve ser usado em mulheres com sangramento vaginal sem motivo, câncer de mama ou outras doenças malignas influenciadas por hormônios sexuais, presença ou antecedente de tumor no fígado, doença grave no fígado, presença ou antecedente de doença renal grave, história recente de ataque cardíaco ou derrame, história atual ou anterior de trombose nos vasos sanguíneos das pernas ou dos pulmões ou níveis muito elevados de triglicérideos.
Angeliq;Qual é o mecanismo de ação de Angeliq?;Angeliq ontém estradiol e drospirenona que são hormônios que deixam de ser produzidos durante o climatério. Desta forma, este medicamento repõe os hormônios que o organismo não produz mais.
Angiolot;Qual é o propósito principal de Angiolot na área da saúde?;Indicado para tratar varizes, hemorroidas, inflamação das veias, tromboflebites e edemas provocados por mau funcionamento do sistema linfático.
Angiolot;De que maneira Angiolot deve ser administrado?;Deve-se tomar de 1 a 3 drágeas, três vezes ao dia, podendo ser aumentada a critério do médico.
Angiolot;Quais são os possíveis efeitos colaterais associados a Angiolot?;Podem surgir, raramente, efeitos colaterais como aumento das enzimas do fígado no exame de sangue, diarreia, enjoos, vômitos, barriga inchada, problemas de fígado e coloração amarela da pele ou olhos.
Angiolot;Existem situações em que o uso de Angiolot não é recomendado?;É contraindicado em mulheres grávidas ou que estejam a amamentar, crianças ou adolescentes com menos de 18 anos, pessoas com problemas de fígado grave ou alergia a qualquer componente da fórmula.
Angiolot;Quais são os processos biológicos desencadeados por Angiolot?;Angiolot contém na sua fórmula cumarina e troxerrutina que melhoram a circulação nas veias e vasos linfáticos, diminuindo também o inchaço decorrente de problemas nestes vasos.
Angipress CD;Qual é a finalidade do medicamento Angipress CD?;O Angipress CD é um remédio usado no tratamento da hipertensão arterial.
Angipress CD;Como usar Angipress CD?;A posologia deve ser individualizada.
Angipress CD;Quais são os potenciais efeitos indesejados de Angipress CD?;O produto é normalmente muito bem tolerado, e os efeitos colaterais relacionados com esta associação são pouco frequentes e, geralmente, de pequena intensidade.
Angipress CD;Quais são as contraindicações para Angipress CD?;O uso deste produto é contra-indicado para pacientes com bloqueio cardíaco do segundo e terceiro graus, que apresentam hipersensibilidade ao atenolol, clortalidona ou aos demais componentes da fórmula.
Angipress CD;Como Angipress CD atua no organismo para produzir seus efeitos?;O Angipress CD contém 2 ingredientes ativos, que reduzem a pressão arterial quando usados continuamente. O atenolol age preferencialmente sobre os receptores localizados no coração e na circulação e a clortalidona aumenta a quantidade de urina produzida pelos rins.
Annita;Para que serve Annita?;Annita em comprimidos ou suspensão é indicado para o tratamento de gastroenterites virais, helmintíases, amebíase, giardíase, criptosporidíase, e no tratamento de de parasitoses como blastocistose, balantidíase e isosporíase, em adultos e crianças.
Annita;Como usar Annita?;Annita comprimidos
Annita;Quais são os potenciais efeitos indesejados de Annita?;Alguns dos efeitos colaterais de Annita podem incluir cólica abdominal, diarreia, náusea, vômito ou dor de cabeça.
Annita;Quando não devo usar Annita?;Annita está contraindicado para crianças com menos de 1 anos, pacientes com diabetes, doenças no fígado ou rins e para pacientes com alergia à Nitazoxanida ou a algum dos componentes da fórmula.
Annita;Como Annita atua no organismo para produzir seus efeitos?;Annita tem na sua composição Nitazoxanida, um composto que atua contra protozoários e vermes, através da inibição de uma enzima indispensável à vida do parasita. Além disso, Nitazoxanida atua também contra alguns vírus, inibindo a síntese da estrutura viral, bloqueando a habilidade do vírus em se multiplicar.
Ansentron;Qual é o propósito principal de Ansentron na área da saúde?;Antiemético para uso conjunto durante tratamento antineoplásico.É indicado para prevenção e tratamento dosfenômenos eméticos do pós-operatório.
Ansentron;Quais são as orientações específicas para utilizar Ansentron?;Uso adulto
Ansentron;Em que circunstâncias eu não deveria utilizar Ansentron?;Hipersensibilidade conhecida ao princípio ativo ouaos demais componentes da fórmula.
Ansiodoron;O que Ansiodoron pretende tratar?;Ansiodoron é indicado no tratamento auxiliar da insônia, ansiedade, irritabilidade, espasmos musculares, tensão dolorosa nos músculos e alcoolismo, em adultos.
Ansiodoron;Qual é a posologia recomendada para Ansiodoron?;Tratamento da ansiedade
Ansiodoron;Existem reações adversas conhecidas de Ansiodoron?;Na bula do medicamento não são referidos efeitos colaterais.
Ansiodoron;Quais são as contraindicações para Ansiodoron?;Ansiodoron está contraindicado para pacientes com alergia a algum dos componentes da fórmula.
Ansiodoron;Qual é o mecanismo de ação de Ansiodoron?;Ansiodoron atua no organismo através do estímulo das forças autocurativas do corpo, porque é um medicamento elaborado segundo os princípios da medicina moderna e da homeopatia, permitindo assim a harmonização de diversos distúrbios da saúde.
Ansitec;Em que situações médicas é recomendado o uso de Ansitec?;Ansitec serve para tratar ansiedade, acompanhada ou não de depressão.
Ansitec;Quais são as instruções para o uso correto de Ansitec?;A dose inicial recomendada é 15 mg ao dia, dividida em 3 tomadas de 5 mg cada. Deve-se tomar o medicamento com alimentos, de preferência nos intervalos das refeições.
Ansitec;Quais são os possíveis efeitos colaterais associados a Ansitec?;Os efeitos colaterais são tontura, dor de cabeça, nervosismo, delírio, náusea, excitação, suor excessivo ou pele gordurosa, urticária e urinar com menos frequência.
Ansitec;Quando não devo usar Ansitec?;Na gravidez ou amamentação não se deve usar Ansitec, assim como se tiver menos de 18 anos. Não deve ser usado em doentes com insuficiência hepática ou renal. Durante o tratamento deve-se evitar conduzir automóveis ou utilizar máquinas complexas e beber bebidas alcoólicas.
Ansitec;Como funciona Ansitec?;Ansitec contém na sua fórmula cloridrato de buspirona que atua no cérebro diminuindo a liberação das substâncias que causam ansiedade e aumentando as substâncias que a diminuem.
Antak;Para que serve Antak?;Antak xarope, comprimidos e injetável é indicado para o tratamento e prevenção de úlceras no estômago ou no duodeno, sangramentos decorrentes de úlcera péptica, úlceras pós-operatórias, síndrome de Zollinger-Ellison, dispepsia episódica crônica, prevenção da síndrome de Mendelson e no tratamento dos problemas causados pelo refluxo de ácido do estômago para o esôfago, em adultos e crianças.
Antak;Quais são as instruções para o uso correto de Antak?;Antak xarope e comprimidos de 150 mg e 300 mg
Antak;Quais são os riscos para a saúde relacionados ao uso de Antak?;Alguns dos efeitos colaterais de Antak podem incluir respiração ofegante, dor ou aperto no peito, inchaço nos olhos, face, lábios, boca ou língua, febre, reações de alergia, urticária ou fissuras na pele, sensação de fraqueza, alterações dos batimentos cardíacos, tontura, sensação de cansaço, cansaço extremo ou falta de ar.
Antak;Há alguma condição específica em que o uso de Antak é desaconselhado?;Antak está contraindicado para crianças e para pacientes com alergia ao Cloridrato de Ranitidina ou a outros componentes da fórmula.
Antak;Qual é o mecanismo de ação de Antak?;Antak é um medicamento que tem na sua composição cloridrato de ranitidina, um composto que reduz a quantidade de ácido produzida no estômago. Assim, Antak favorece a cicatrização da gastrite e das úlceras pépticas do estômago e do duodeno e previne possíveis complicações.
Antux 30 mg;Em que situações médicas é recomendado o uso de Antux 30 mg?;Antux 30 mg é indicado para o alivio dos sintomas de tosse seca e irritativa, provocada por infecções ou por doenças do aparelho respiratório como bronquite, laringite ou taqueíte.
Antux 30 mg;Quais são as orientações específicas para utilizar Antux 30 mg?;Antux 30 mg gotas
Antux 30 mg;Quais são os possíveis efeitos colaterais associados a Antux 30 mg?;Alguns dos efeitos colaterais de Antux podem incluir náusea, má digestão, desconforto abdominal, diarreia, vômito, ardência e queimação na garganta e no esôfago, cansaço, fadiga, cansaço extremo, torpor, dor de cabeça, tonturas, palpitações ou sonolência.
Antux 30 mg;Quais são as contraindicações para Antux 30 mg?;Antux 30 mg está contraindicado para crianças com menos de 2 anos de idade, pacientes com problemas no funcionamento do fígado, diabéticos, pacientes com hipersecreção brônquica e função mucociliar reduzida e para pacientes com alergia à Levodropropizina ou a outros componentes da fórmula.
Antux 30 mg;Quais são os princípios do funcionamento de Antux 30 mg?;Antux é um antitussígeno que tem na sua composição Levodropropizina, um composto com ação predominantemente periférica, que age inibindo o reflexo da tosse seca, irritativa e sem catarro. Em alguns casos, esta tosse pode ser provocada pelo aparecimento de várias doenças do aparelho respiratório. Antux é um sedativo da tosse com ação miorrelaxante brônquica, capaz de melhorar a ventilação pulmonar.
Apalutamida;Qual é a finalidade do medicamento Apalutamida?;A Apalutamida é um remédio indicado para o tratamento do câncer da próstata não metastático resistente à castração.
Apalutamida;Quais são as orientações específicas para utilizar Apalutamida?;A dose recomendada de apalutamida é de 240 mg, o que equivale a 4 comprimidos de 60 mg, administrados por via oral, uma vez ao dia.
Apalutamida;Existem reações adversas conhecidas de Apalutamida?;Os efeitos colaterais mais comuns que podem ocorrer durante o tratamento com apalutamida são fadiga, aumento da pressão arterial, erupção cutânea, diarreia, náusea, diminuição do peso, dor nas juntas, quedas, rubor, diminuição do apetite, fraturas e edema periférico.
Apalutamida;Quais são as contraindicações para Apalutamida?;Este medicamento não deve ser usado em pessoas grávidas ou mulheres que estejam amamentando.
Apetil;Qual é a finalidade do medicamento Apetil?;Como estimulante do apetite.
Apetil;Quais são as orientações específicas para utilizar Apetil?;Adultos1 comprimido, 2 vezes ao dia meia hora antes das principais refeições.Crianças acima de 6 anos até 12 anosMeio comprimido meia hora antes do almoço e meio comprimido meia hora antes do jantar.
Apetil;Existem reações adversas conhecidas de Apetil?;Às vezes pode ocorrer sonolência, tontura, dor de cabeça, irritação e secura da boca.
Apetil;Existem situações em que o uso de Apetil não é recomendado?;Apetil  está contraindicado a pacientes hipersensíveis aos componentes da fórmula e a gestantes e lactantes.
Apracur;Em que situações médicas é recomendado o uso de Apracur?;Apracur é indicado no tratamento dos sintomas da gripe, resfriado, dor de cabeça, febre, dores musculares, dores neuropáticas e mau estar geral provocado por alterações climáticas ou uso excessivo de álcool ou nicotina, em adultos e crianças.
Apracur;Como usar Apracur?;Adultos e crianças com mais de 14 anos
Apracur;Quais os males que Apracur pode me causar?;Alguns dos efeitos colaterais de Apracur podem incluir mal-estar gastrintestinal, lesões renais, agranulocitose, anemia hemolítica, sonolência e tontura.
Apracur;Em que circunstâncias eu não deveria utilizar Apracur?;Apracur está contraindicado para pacientes com problemas ou doença nos rins, deficiência genética da glicose-6-fosfodeidrogenase, porfiria hepática aguda, granulocitopenia, hipertensão, tireotoxicose, alterações orgânicas graves do coração e dos vasos sanguíneos, pacientes com arritmias cardíacas e para pacientes com alergia à dipirona sódica, ao maleato de clorfeniramina, ao ácido ascórbico​ ou a outros componentes da fórmula.
Apracur;Quais são os processos biológicos desencadeados por Apracur?;Apracur é um medicamento que tem na sua composição maleato de clorfeniramina, ácido ascórbico e dipirona sódica, compostos responsáveis pelas suas propriedades analgésicas, antitérmicas e anti-histamínicas.
Apraz comprimidos;Em que situações médicas é recomendado o uso de Apraz comprimidos?;Apraz comprimidos 0,25 mg, 0,5 mg, 1 mg ou 2 mg é indicado para o tratamento de estados de ansiedade, transtorno do pânico ou abstinência ao álcool, em adultos.
Apraz comprimidos;De que maneira Apraz comprimidos deve ser administrado?;A dose recomendada de Apraz comprimidos e a duração do tratamento devem ser indicadas pelo médico, pois dependem da gravidade dos sintomas manifestados e da resposta individual de cada paciente ao tratamento.
Apraz comprimidos;Quais são os potenciais efeitos indesejados de Apraz comprimidos?;Alguns dos efeitos colaterais de Apraz podem incluir depressão, sedação, sonolência, falta de coordenação motora, alterações na memória, fala lentificada e difícil de compreender, tontura, dor de cabeça, prisão de ventre, secura na boca, cansaço extremo, irritabilidade, diminuição do apetite, confusão, confusão mental, diminuição da libido, ansiedade, dificuldade para dormir, nervosismo, sensação de cabeça vazia, alterações no do equilíbrio, problemas de atenção, aumento do sono, lentidão, tremor, visão embaçada, náusea, inflamação na pele, impotência sexual, diminuição do peso ou aumento do peso.
Apraz comprimidos;Quando não devo usar Apraz comprimidos?;Apraz está contraindicado para crianças e adolescentes com menos de 18 anos, pacientes com miastenia gravis, glaucoma de ângulo estreito agudo e para pacientes com alergia a outros benzodiazepínicos, ao Alprazolam ou a outros componentes da fórmula.
Apraz comprimidos;Como funciona Apraz comprimidos?;Apraz é um medicamento que tem na sua composição Alprazolam, um composto da classe dos medicamentos benzodiazepínicos, que atuam no sistema nervoso central, causando um efeito depressor.
Apresolina 50 mg;Qual é a finalidade do medicamento Apresolina 50 mg?;Indicado para tratar a pressão alta e aliviar os sintomas de insuficiência cardíaca congestiva.
Apresolina 50 mg;Quais são as orientações específicas para utilizar Apresolina 50 mg?;Dependendo do tipo de doença e reposta do doente, a posologia pode ser:
Apresolina 50 mg;Quais são os possíveis efeitos colaterais associados a Apresolina 50 mg?;Os efeitos colaterais mais comuns são aumento do batimento cardíaco, dor de cabeça, dores musculares ou das articulações, diarreia, enjoo, vômito e quebra da pressão arterial.
Apresolina 50 mg;Há alguma condição específica em que o uso de Apresolina 50 mg é desaconselhado?;Não deve ser usado por mulheres grávidas ou que estejam a amamentar e por pessoas com alergia a qualquer componente da fórmula.
Apresolina 50 mg;Quais são os processos biológicos desencadeados por Apresolina 50 mg?;Apresolina contém na sua fórmula cloridrato de hidralazina, uma substância diurética que evita o acumulo de água no organismo, baixando a pressão arterial.
Aprovel 150 e 300;Para que serve Aprovel 150 e 300?;O Aprovel é um medicamento indicado para o tratamento da hipertensão, podendo ser usado isoladamente ou em associação com outros anti-hipertensivos.
Aprovel 150 e 300;Quais são as instruções para o uso correto de Aprovel 150 e 300?;A dose inicial de Aprovel é de 150 mg, uma vez ao dia. Em pessoas que necessitam de uma redução adicional da pressão arterial, o médico pode indicar uma dose de 300 mg por dia.
Aprovel 150 e 300;Quais são os potenciais efeitos indesejados de Aprovel 150 e 300?;Embora sejam raros, podem ocorrer efeitos colaterais como dor no peito, tosse, diarreia, azia, tontura, disfunção sexual e aumento do ritmo cardíaco.
Aprovel 150 e 300;Quais são as contraindicações para Aprovel 150 e 300?;Este remédio não deve ser usado em pessoas com hipersensibilidade à irbesartana ou a qualquer outro componente presente no comprimido.
Aprovel 150 e 300;Como Aprovel 150 e 300 atua no organismo para produzir seus efeitos?;O Aprovel tem na sua composição irbesartana, que é um antagonista específico irreversível dos recetores da angiotensina II.
Aprozide;Para que serve Aprozide?;Aprozide é indicado para o tratamento da hipertensão. Pode ser usado isoladamente ou em associação com outros medicamentos anti-hipertensivos (por exemplo, bloqueadores beta-adrenérgicos, bloqueadores dos canais de cálcio de ação prolongada).
