Nome;Pergunta;Resposta
Sativex;Quais são as contraindicações para Sativex?;Não deve ser usado durante a amamentação ou gravidez, devendo-se, por isso, utilizar um método contraceptivo eficaz até 3 meses depois de terminar o uso do remédio. Também não se deve tomar em caso de alergia a qualquer componente da fórmula.
Fenitoína;Em que circunstâncias eu não deveria utilizar Fenitoína?;Fenitoína está contraindicado para pacientes com historial de alergia à Fenitoína ou a outras hidantoínas, pacientes com síndrome de adam-Stokes, pacientes com bloqueio A-V de 2º e 3º graus e a pacientes com bloqueio sino-atrial e bradicardia sinusal.
Dermacyd;Para que serve Dermacyd?;Dermacyd Femina 24h, Dermacyd Delicata 24h, Dermacyd Breeze 24h, Dermacyd Neutralize e Dermacyd​ Teen são sabonetes íntimos, indicados para a higiene e proteção da pele e mucosas, em adultos e crianças.
Bepantol;Qual é a finalidade do medicamento Bepantol?;"Bepantol pomada ou solução é indicado para cicatrização e epitelização em caso de ferimentos leves, tais como queimaduras e escoriações de pouca gravidade, úlceras crônicas, úlceras de decúbito e fissuras anais; para tratamento das inflamações da boca e da faringe; para tratamento pós-operatório de feridas cirúrgicas, enxertos cutâneos e erosões cervicais e para tratamento das estomatites (eventualmente em associação com antiinfecciosos)."
Choragon 5000;Quando não devo usar Choragon 5000?;"Este medicamento não deve ser utilizado caso a resposta para alguma das perguntas a seguir for “SIM”:- Você possui alergia aos componentes da fórmula?- Você possui tumor na glândula pituitária ou do hipotálamo?- Você possui aumento dos ovários ou cisto não causado por ovário policístico?- Você está tendo sangramento vaginal de causa desconhecida?- Você possui câncer nos ovários, útero ou nos seios?- Você teve gravidez extra-uterina nos últimos 3 meses?- Você sofre de desordens tromboembólicas (fechamento de vasos sanguíneos resultante da passagem de coágulos sanguíneos)?- Você já teve síndrome de hiperestimulação ovariana?- (Em homens) Você tem história ou suspeita de tumores andrógenos dependentes (dependente de hormônios sexuais), como carcinoma prostático ou carcinoma mamário?- (Em meninos) A descida do testículo pode não ocorrer por fatores obstrutivos, por exemplo, hérnia inguinal, cirurgia na região inguinal (da virília), testículo ectópico (o testículo saiu do seu trajeto habitual para o escroto, ficando preso fora dele). Choragon não deve ser administrado em casos em que o resultado do tratamento provavelmente não será favorável, isto é, nos seguintes casos:- Deficiência primária dos ovários;- Má-formação dos órgãos sexuais incompatível com a gravidez;- Tumores fibroides do útero sendo incompatíveis com a gravidez;- Mulheres na pós-menopausa."
Vitacid Acne;Quais são as orientações específicas para utilizar Vitacid Acne?;Este gel deve ser aplicado na pele na hora de dormir. A quantidade deve ser do tamanho de uma ervilha e aplicada em pontos do queixo, bochechas, nariz e testa, e em seguida, espalhar suavemente sobre o rosto inteiro.
Famox 40 mg;Qual é a posologia recomendada para Famox 40 mg?;A dose recomendada é de 1 comprimido de 40 mg/dia, ao deitar. A duração do tratamento é de 4 a 8 semanas, podendo ser abreviada se a endoscopia revelar que a úlcera foi curada.Para prevenção da recorrência da ulceração duodenal, recomenda-se que a terapia seja mantida com um comprimido de 20 mg/dia, ao deitar por um período determinado a critério médico.
Keppra;Quais são os potenciais efeitos indesejados de Keppra?;Alguns dos efeitos colaterais de Keppra podem incluir inflamação no nariz e da faringe, sonolência, perda de apetite, depressão, ansiedade, insônia, nervosismo, irritabilidade, convulsões, alterações do equilíbrio, tontura, tremores involuntários, vertigem, tosse, dor abdominal, diarreia, má digestão, vômito, náusea, fadiga, cansaço extremo e urticária, vermelhidão e coceira na pele.
Melagrião;Quais são as contraindicações para Melagrião?;Este remédio não deve ser usado por crianças com menos de 2 anos, mulheres grávidas ou por pessoas com alergia a qualquer componente da fórmula.
Miosan;O que Miosan pretende tratar?;Miosan ou Miosan CAF é indicado no tratamento de espasmos musculares com dor aguda como nas lombalgias, torcicolos, fibromialgia, periartrite escapuloumeral e no tratamento de cervicobraquialgias, em adultos.
Eutonis 1 mg;Quais são os possíveis efeitos colaterais associados a Eutonis 1 mg?;Sedação, tontura e cefaléia podem ser verificadas com doses elevadas ingeridas de uma só vez. Esses efeitos colaterais geralmente aparecem no início do tratamento, mas podem ser evitados pelo aumento gradual da dose, ou podem ser revertidos pela redução da mesma. Hipotensão ortostática, hipotonia muscular ou ataxia são fenômenos raros.
Ceftriax;Quais são as contraindicações para Ceftriax?;É contraindicado em grávidas ou mulheres que estejam a amamentar, bebês prematuros, recém-nascidos com icterícia ou que estejam a tomar medicação com cálcio. Não deve ser usado, ainda, em pessoas com alergia a qualquer componente da fórmula.
Cedur;Como usar Cedur?;Cedur
Gynoflor;Para que serve Gynoflor?;Gynoflor é indicado para promover o desenvolvimento de Lactobacillus, ajudando a repor o equilíbrio biológico da flora vaginal, em mulheres na pré-menopausa.
Aristab;Em que situações médicas é recomendado o uso de Aristab?;Aristab é indicado no tratamento da esquizofrenia e de episódios associados ao transtorno bipolar do tipo I, em adultos.
Cebralat 50 e 100 mg;Qual é o mecanismo de ação de Cebralat 50 e 100 mg?;Cebralat é um medicamento que tem na sua composição Cilostazol, um derivado quinolinônico capaz de inibir a fosfodiesterase celular e de suprimir a degradação da adenosina monofosfato. Desta forma, Cebralat promove um aumento da concentração de adenosina monofosfato nas plaquetas e vasos sanguíneos, o que inibe a agregação plaquetária e promove a vasodilatação.
Rozex;Há alguma condição específica em que o uso de Rozex é desaconselhado?;Hipersensibilidade aos componentes da fórmula.
Dunason;Existem reações adversas conhecidas de Dunason?;Alguns dos efeitos colaterais que Dunason pode provocar incluem ardência ligeira e vermelhidão conjuntival.
Amicozol;Quais são os princípios do funcionamento de Amicozol?;Amicozol contém na sua fórmula nitrato de miconazol que atua nos fungos que causam a micose, eliminando-os.
Digoxina;Qual é a posologia recomendada para Digoxina?;A dose de Digoxina deve ser ajustada individualmente por paciente, de acordo com a idade, peso corporal e função renal.
Metformed 500 e 850 mg;Quais são as contraindicações para Metformed 500 e 850 mg?;Este remédio não deve ser usado em pessoas com alergia à metformina ou aos outros componentes da fórmula, com problema de funcionamento do fígado ou dos rins, diabetes não controlada, hiperglicemia ou cetoacidose graves.
Siludrox;Quando não devo usar Siludrox?;Siludrox está contraindicado para pacientes com sintomas de apendicite como dor no estômago que se desloca para a parte inferior direita do abdômen, febre, mal-estar geral e alterações do transito intestinal, pacientes com problemas ou doença nos rins e para pacientes com alterações dos níveis de fosfato no sangue.
Magnésia Bisurada;Qual é a finalidade do medicamento Magnésia Bisurada?;A Magnésia Bisurada está indicada para o alívio dos sintomas como azia, queimação e dor estomacal.
Dieloft;Existem reações adversas conhecidas de Dieloft?;Efeitos colaterais podem ocorrer com o uso de Dieloft.
Duphaston;Quais são as contraindicações para Duphaston?;O Duphaston não deve ser usado por pessoas com alergia à didrogesterona ou a qualquer um dos componentes da formulação, que tenha ou tenha tido um tumor que é agravado pela progesterona ou que tenha um sangramento vaginal de causa desconhecida.Este medicamento é contraindicado para uso por homens e por mulheres com idade inferior a 18 anos.
Xenical;Há alguma condição específica em que o uso de Xenical é desaconselhado?;Xenical é contraindicado em pacientes com síndrome de má-absorção crônica, colestase e em pacientes com hipersensibilidade conhecida a orlistate ou a qualquer um dos componentes contidos na fórmula.
Acheflan creme;Quais são os riscos para a saúde relacionados ao uso de Acheflan creme?;Não existe informação sobre os efeitos colaterais na aplicação deste creme.
Cromolerg 4%;Quais os males que Cromolerg 4% pode me causar?;A aplicação do produto pode provocar uma sensação de ardência transitória em alguns pacientes, que é considerada normal.
Naturetti;Em que circunstâncias eu não deveria utilizar Naturetti?;Em casos de obstrução intestinal ou onde exista contra-indicação ao uso de laxantes.
Tarflex;Qual é o propósito principal de Tarflex na área da saúde?;Shampoo anticaspa. Tarflex possui em sua formulação agentes detergentes e condicionadores que promovem a limpeza e condicionamento dos cabelos excessivamente oleosos, sem deixar sensação de ressecamento. Tarflex é indicado para o tratamento da oleosidade, caspa (dermatite seborréica) e age como coadjuvante no tratamento da psoríase e eczema do couro cabeludo.
Colact;Quais são as orientações específicas para utilizar Colact?;Geralmente, a dose recomendada de Colact é de 5 ml, equivalente a 1 copo doseador, 3 vezes por dia.
Tenolon;Quais são as orientações específicas para utilizar Tenolon?;"Hipertensão: a maioria dos pacientes responde a uma dose oral de 100mg. O efeito pleno será alcançado após uma ou duas semanas. Pode-se conseguir uma redução adicional no pressão arterial, combinando o ATENOLOL com outros agentes anti-hipertensivos, como por exemplo a clortalidona.Angina: a maioria dos pacientes com angina pectoris responde a uma dose diária de 100mg, administrada como dose única ou fracionada. É improvável que se obtenha benefício adicional através do aumento da dose.Infarto do miocárdio (intervenção tardia após infarto agudo do miocárdio): para pacientes que se apresentarem alguns dias após sofrerem infarto do miocárdio, recomenda-se uma dose de 100mg diários para profilaxia a longo prazo de infarto do miocárdio.Pacientes com insuficiência renal (clearance de creatina superior a 35 ml/min./1.73m2): não ocorre acúmulo significativo de ATENOLOL. Clearance de creatinina entre 15 a 35 ml/min./1.73m2: a dose deve ser de 50mg ou 100mg em dias alternados ou 100mg a cada 4 dias.Pacientes que se submetem a hemodiálise: devem receber 50mg por dia via oral, após cada diálise; isto deve ser feito sob supervisão hospitalar, uma vez que podem ocorrer acentuadas quedas na pressão arterial.Pacientes idosos: os requisitos de dose podem ser reduzidos."
Fenergan creme 30 g;Quais são as orientações específicas para utilizar Fenergan creme 30 g?;Aplicar o creme na região afetada, numa fina camada, 3 a 4 vezes por dia.
Betaserc;Existem reações adversas conhecidas de Betaserc?;Como todos os medicamentos, Betaserc pode causar efeitos colaterais, embora não aconteça com todas as pessoas.
Tecta 40 mg;Quais são as contraindicações para Tecta 40 mg?;Tecta 40 mg está contraindicado para pacientes com menos de 18 anos de idade, pacientes em tratamento com medicamentos da mesma classe ou com Atazanavir ou Nelfinazir e para pacientes com alergia ao Pantoprazol ou a algum dos componentes da fórmula.
Salder S;Qual é o propósito principal de Salder S na área da saúde?;Salder S -  Sabonete Medicinal é indicado para o tratamento da pitiríase versicolor, causada pela Malassezia furfur.Por sua atividade fungicida, anti-seborréica e queratolítica, constitui terapia adjuvante e eficaz no tratamento da acne vulgaris e seborréia.
Xeloda;Para que serve Xeloda?;Xeloda é indicado para o tratamento de câncer de mama e de câncer de cólon e reto (que são partes do intestino) em determinadas condições.
Eupressin 10 mg;Qual é a finalidade do medicamento Eupressin 10 mg?;O Eupressin é usado para controlar a pressão alta e melhorar assim o desempenho do coração.
Imodium;Quais são os princípios do funcionamento de Imodium?;Imodium tem na sua composição Loperamida, um composto que age tornando as fezes sólidas e menos frequentes, o que leva à paragem da diarreia.
Vimovo;Qual é o mecanismo de ação de Vimovo?;O Vimovo é composto por duas substâncias ativas, o naproxeno e o esomeprazol, que são liberados no organismo um depois do outro, sendo o esomeprazol liberado no estômago para redução da quantidade de ácido que o estômago produz, e o naproxeno, por ser revestido por uma camada resistente ao ambiente ácido do estômago, é liberado no intestino delgado, reduzindo assim possíveis danos ao estômago por sua ação.
Reumon Gel;Existem situações em que o uso de Reumon Gel não é recomendado?;Reumon está contraindicado para mulheres grávidas, crianças e para pacientes com eczemas na pele com sintomas como bolinhas, vermelhidão e coceira na pele e pele áspera e para pacientes com alergia ao Etofenamato, ao Ácido flufenâmico, a outros anti-inflamatórios não esteroides ou a algum dos componentes da fórmula.
Topison;Há alguma condição específica em que o uso de Topison é desaconselhado?;Topison (mometasona) é contra-indicado para os pacientes hipersensíveis a qualquer componente da fórmula. TOP/01/BUSO ADULTO E PEDIÁTRICOTopison TOP-01-B Rev.2.indd 1 20.01.04 14:19:57
Tryptanol;Em que situações médicas é recomendado o uso de Tryptanol?;Tryptanol está indicado principalmente para tratamento de depressão.
Clozapina;Qual é a finalidade do medicamento Clozapina?;Clozapina é indicada para o tratamento da esquizofrenia, transtorno esquizoafetivo e para o tratamento de distúrbios do pensamento, emocionais e comportamentais da doença de Parkinson, em adultos.
Cefazol;Quais são as instruções para o uso correto de Cefazol?;"Após a reconstituição, a cefazolina pode ser administrada por via intravenosa direta ou por infusão contínua ou intermitente. Injeção intravenosa direta (administrar a solução diretamente na veia ou através de tubo): diluir a solução de 1 g de cefazolina em uma quantidade de no mínimo 10 ml de água esterilizada para injeção. Injetar a solução lentamente no prazo de 3 a 5 minutos. Não injetar em menos de 3 minutos. Infusão intravenosa intermitente: a cefazolina pode ser administrada junto com líquidos intravenosos, por meio de um dispositivo para controle de volume (infusão contínua) ou separadamente com um frasco secundário para administração (infusão intermitente). As soluções reconstituídas de 1 g de cefazolina podem ser diluídas em 50 a 100 ml das seguintes soluções intravenosas: cloreto de sódio a 0,9%; glicose a 5% ou 10%; glicose a 5% em lactato de Ringer; glicose a 5% em cloreto de sódio a 0,9% (também pode ser usado com glicose a 5% em cloreto de sódio a 0,45% ou 0,2%) em lactato de Ringer; frutose a 5% ou 10% Solução de Ringer. Posologia adultos: pneumonia pneumocócica 500 mg a cada 12 horas; infecções leves causadas por cocos gram-positivos sensíveis 250 mg a 500 mg a cada 8 horas; infecções do trato urinário agudas e não complicada 1 g a cada 12 horas; infecções moderadas e graves: 500 mg a 1 g a cada 6 a 8 horas; infecções com risco de vida (por ex.: endocardite e septicemia) 1 g a 1,5 g; cada 6 horas. Em raras situações, doses de até 12 gramas de cafazolina por dia foram usadas. Dosagem em insuficiência renal: para pacientes com insuficiência renal a dose inicial é a mesma que em pacientes com o rim sadio. O intervalo de dosagem deve ser aumentado, pois pode haver um acúmulo de cefazolina."
Ovestrion;Quais são as instruções para o uso correto de Ovestrion?;Os comprimidos devem ser ingeridos diariamente, sem mastigar, com o auxílio de algum líquido, preferencialmente no mesmo horário.
Naxogin 500;De que maneira Naxogin 500 deve ser administrado?;Tricomoníase urogenital
Multigrip;Quais são as instruções para o uso correto de Multigrip?;A dose recomendada é de 1 cápsula a cada 4 horas, não se devendo exceder 5 cápsulas por dia.
Plasil Gotas;Qual é o mecanismo de ação de Plasil Gotas?;A metoclopramida, substância ativa de Plasil gotas é um medicamento que age no sistema digestório no alívio de náuseas e vômitos.
Epocler solução;Quais são os riscos para a saúde relacionados ao uso de Epocler solução?;O Epocler é geralmente bem tolerado, no entanto, embora seja raro, pode ocorrer oceira, dor de cabeça e distúrbios gástricos como náuseas e azia.
Aprovel 150 e 300;De que maneira Aprovel 150 e 300 deve ser administrado?;A dose inicial de Aprovel é de 150 mg, uma vez ao dia. Em pessoas que necessitam de uma redução adicional da pressão arterial, o médico pode indicar uma dose de 300 mg por dia.
Loprox;Quais são os riscos para a saúde relacionados ao uso de Loprox?;Embora seja muito raro, pode ocorrer dermatite alérgica de contato, vermelhidão e descamação.
Canesten;Em que circunstâncias eu não deveria utilizar Canesten?;Não se deve usar Canesten creme em caso de alergia ao clotrimazol ou outros componentes presentes na fórmula.
Bamifilina;Em que situações médicas é recomendado o uso de Bamifilina?;Bamifilina é indicada para o tratamento da doenças pulmonares como asma brônquica, doença pulmonar obstrutiva crônica e bronquites asmatiformes, em adultos e crianças.
Azukon;Para que serve Azukon?;O Azukon MR é um medicamento que reduz os níveis sanguíneos de açúcar, sendo por isso destinado ao tratamento de diabetes tipo 2, que é um tipo de diabetes no qual a pessoa não necessita fazer uso de insulina, diabetes em pessoas obesas, diabetes em idosos e diabetes em pessoas com complicações vasculares.
Almeida Prado 32;Quais são as instruções para o uso correto de Almeida Prado 32?;Adultos: 2 comprimidos a cada 2 horas por via oral. Siga a orientação do seu médico, respeitando sempre os horários, as doses e a duração do tratamento.Não interromper o tratamento sem o conhecimento do seu médico.
Aftine;Qual é a posologia recomendada para Aftine?;Geralmente, a dose recomendada é de 1 a 2 gotas sobre a afta, administradas 3 a 6 vezes por dia.
Materna;Quais são os princípios do funcionamento de Materna?;Materna funciona suplementando, com vitaminas e minerais, a dieta de mulheres grávidas e que estão amamentando.
Leukeran;O que Leukeran pretende tratar?;Leukeran é indicado para o tratamento de alguns tipos de câncer como Doença de Hodgkin, certas formas de Linfoma não-Hodgkin ou Leucemia linfocítica crônica, e no tratamento de algumas desordens do sangue como Macroglobulinemia de Waldenström, em adultos e crianças.
Opti;Quais são as contraindicações para Opti?;Pessoas alérgicas a quaisquer componentes do Opti-Free
Alenia 6/200;O que Alenia 6/200 pretende tratar?;Indicado para tratar a falta de ar em doentes com asma brônquica ou Doença Pulmonar Obstrutiva Crônica (DPOC).
Angiolot;Há alguma condição específica em que o uso de Angiolot é desaconselhado?;É contraindicado em mulheres grávidas ou que estejam a amamentar, crianças ou adolescentes com menos de 18 anos, pessoas com problemas de fígado grave ou alergia a qualquer componente da fórmula.
Forxiga;Quais são as instruções para o uso correto de Forxiga?;As quantidades de Forxiga a utilizar e a duração do tratamento devem ser indicadas pelo médico, pois dependem da gravidade do problema a tratar e da resposta individual de cada paciente ao tratamento.
Clordox;Em que circunstâncias eu não deveria utilizar Clordox?;Clordox está contraindicado para mulheres grávidas ou amamentando, pacientes com menos de 8 anos de idade e para pacientes com alergia ás tetraciclinas ou a algum dos componentes da fórmula.
Acheflan;O que Acheflan pretende tratar?;Acheflan é indicado no tratamento local de processos inflamatórios, tais como tendinites e dores musculares, e em quadros inflamatórios dolorosos associados a traumas de membros, entorses e contusões.
Kava Kava;Quais são os possíveis efeitos colaterais associados a Kava Kava?;Alguns dos efeitos colaterais de Kava Kava podem incluir perda de peso, aumento da pressão, manchas e feridas na pele, aumento exagerado do reflexo do joelho, reações de alergia e problemas gastrintestinais como vômito, náusea, diarreia, dor abdominal ou cólicas ou cansaço matinal.
Opdivo;Quais são as instruções para o uso correto de Opdivo?;O Opdivo deve ser administrado num hospital ou numa clínica por um profissional de saúde.
Emet;Como usar Emet?;"Emet (dimenidrinato + cloridrato de piridoxina) pode ser tomado imediatamente antes ou durante as refeições. Em caso de viagem, usar a medicação de maneira preventiva com pelo menos meia hora de antecedência.Posologia:Adultos e crianças a partir de 2 anos de idade: 1 gota/kg de peso corporal (equivalente a 1,25 mg de dimenidrinato/kg) ou a critério médico, não excedendo a dose máxima diária, conforme a tabela abaixo:Crianças de 2 a 6 anos: 1 gota/kg a cada 6 a 8 horas, não excedendo 60 gotas (75 mg) em 24 horas. Crianças de 6 a 12 anos: 1 gota/kg a cada 6 a 8 horas, não excedendo 120 gotas (150 mg) em 24 horas.  Adultos acima de 12 anos: 1 gota/kg a cada 4 a 6 horas, não excedendo 320 gotas (400 mg) em 24 horas.Não administre medicamentos diretamente na boca das crianças, utilize uma colher para pingar as gotinhas.Na insuficiência hepática: caso você tenha insuficiência hepática (fígado), avise seu médico, pois ele pode considerar reduzir a dose de Emet  (dimenidrinato + cloridrato de piridoxina).Caso você se esqueça de tomar uma dose, ela deve ser tomada tão logo seja lembrada. No entanto, se estiver muito perto da administração da próxima dose, não a tome; tome somente a dose seguinte e continue com o esquema posológico regular. Não tome uma dose dupla para compensar a dose esquecida. Em caso de dúvidas, procure orientação do farmacêutico ou de seu médico ou cirurgião-dentista."
Superan;Em que situações médicas é recomendado o uso de Superan?;Antiemético e antinauseoso, principalmente durante terapia antineoplásica.
Secotex;De que maneira Secotex deve ser administrado?;1 cápsula ao dia, administrada após o desjejum. A cápsula deve ser ingerida inteira, sem mastigar, com um pouco de líquido (por exemplo, um copo de água), em posição ereta ou sentada. Superdosagem: não se conhecem casos de superdosagem aguda com tamsulosina. Não obstante, teoricamente, pode ocorrer hipotensão arterial aguda após a ingestão de uma superdose. Neste caso é necessário um suporte cardiovascular. A pressão arterial e a freqüência cardíaca se normalizam quando o paciente for colocado em posição deitada. Se isto não for suficiente, pode-se recorrer à administração de expansores do plasma e, em caso de necessidade, a vasopressores. Deve-se monitorizar a função renal e aplicar medidas de suporte geral. Não é provável que a diálise seja de alguma ajuda, já que a tamsulosina se liga em elevado grau às proteínas plasmáticas. Medidas como indução do vômito podem ser tomadas para impedir maior absorção. Quando se trata de quantidades significativas, pode-se proceder à lavagem gástrica, com a administração de carvão ativado e de um laxante osmótico, tal como o sulfato de sódio.
Neossolvan;Existem reações adversas conhecidas de Neossolvan?;"Reações comuns (> 1/100 e < 1/10): disgeusia (distúrbios do paladar); hipoestesia da faringe; náusea; hipoestesia oral."
Adesivo Dorflex Icy Hot;Como Adesivo Dorflex Icy Hot atua no organismo para produzir seus efeitos?;Dorflex Icy Hot é um adesivo flexível que começa por primeiro resfriar a região a tratar e depois aquecendo-a, o que diminui a dor e a inflamação no local.
Alginac;Para que serve Alginac?;O Alginac é indicado para lombalgias, cervicalgias, braquialgias, radiculite, neuropatias periféricas de etiopatogenia diversa, neuralgias faciais, neuralgia do trigêmeo, neuralgia intercostal, neuralgia herpética, síndrome do conduto do carpo, fibromialgia, espondilite.
Clonazepam;Quando não devo usar Clonazepam?;Clonazepam está contraindicado para pacientes com insuficiência respiratória grave ou com doenças no fígado, pacientes com glaucoma agudo de ângulo fechado e para pacientes com alergia aos benzodiazepínicos ou a algum dos componentes da fórmula.
Bactropin;Como funciona Bactropin?;Bactropin tem propriedades bactericidas de amplo espectro.
Vitamina B 12;Existem situações em que o uso de Vitamina B 12 não é recomendado?;Vitamina B12 está contraindicada para pacientes com hipervitaminose de Vitamina B12 e para pacientes com alergia à Vitamina B12 ou a outros componentes da fórmula.
Excedrin comprimidos;Para que serve Excedrin comprimidos?;O Excedrin é usado na dor de cabeça leve a moderada ou dor muscular.
Caduet;Para que serve Caduet?;"É indicado para pacientes que apresentam risco cardiovascular aumentado por hipertensão (aumento da pressão arterial) e/ou angina (angina crônica estável ou angina espástica) e dislipidemia (hipercolesterolemia heterozigótica familiar e não familiar, níveis elevados de triglicérides séricos, disbetalipoproteinemia primária, hipercolesterolemia familiar homozigótica); pacientes com risco cardiovascular aumentado devido à presença de doença das artérias coronárias com sintoma de angina; prevenção de complicações cardiovasculares em pacientes hipertensivos.Em pacientes com doença cardiovascular e/ou dislipidemia, Caduet está indicado na prevenção secundária (prevenção de recorrência de eventos cardiovasculares) do risco combinado de morte, infarto do miocárdio não-fatal, parada cardíaca e re-hospitalização por angina do peito.Prevenção de Complicações Cardiovasculares: em pacientes sem evidência clínica de doença cardiovascular e com ou sem dislipidemia, porém com múltiplos fatores de risco para doença coronariana como tabagismo, hipertensão, diabetes, baixo nível de HDL-colesterol ou história familiar de doença coronariana precoce, Caduet está indicado para redução do risco de: doença coronariana fatal e infarto do miocárdio não-fatal; acidente vascular cerebral (derrame); procedimentos de revascularização e angina pectoris."
Ensure Pó;Quais são as instruções para o uso correto de Ensure Pó?;Para preparar uma porção alimentar de aproximadamente 250 ml, colocar 210 ml de água à temperatura ambiente em um copo. Agitando continuamente a água, adicionar seis medidas rasas (medida incluída dentro da lata) de Ensure Pó, que equivalem a aproximadamente 56,4 g de pó. Continuar a misturar até a completa dissolução do pó. Ensure Pó proporciona 1 kcal/ml, quando for preparado de acordo com as instruções acima. Uma lata de 400 g renderá aproximadamente sete porções de 250 ml. Instruções de armazenamento: o conteúdo desta lata deve ser consumido dentro de três semanas depois de ter sido aberta. Tampar a lata e guardá-la em um lugar fresco e seco (não no refrigerador). Ensure reconstituído deve ser usado de imediato, ou deve ser tampado e guardado no refrigerador, usando-o antes de 24 horas.
Tropinal 300 mg;Quais são os potenciais efeitos indesejados de Tropinal 300 mg?;O uso de Tropinal pode provocar alguns efeitos secundários como reações de alergia, febre, dor no peito, aftas, coceira generalizada, suores frios, náuseas, descoloração da pele e falta de ar. Além disso, podem ainda surgir outros sintomas como secura da boca, dilatação das pupilas, dor ao urinar, prisão de ventre, vômitos, dor nos olhos e tonturas.
Androxon;Qual é a posologia recomendada para Androxon?;A dose de Androxon deve ser determinada pelo médico, de acordo com a gravidade dos sintomas e a resposta individual do paciente.
Tryptanol;Quais são os princípios do funcionamento de Tryptanol?;Tryptanol pertence a um grupo de fármacos conhecidos como antidepressivos tricíclicos.
Loprox;Há alguma condição específica em que o uso de Loprox é desaconselhado?;O Loprox é contraindicado para pessoas que apresentam alergia conhecida ao ciclopirox ou a qualquer componente da fórmula.
Tamisa 20;Quais são os processos biológicos desencadeados por Tamisa 20?;Tamisa 20 contém dois hormônios femininos, o gestodeno e o etinilestradiol, que têm função semelhante aos hormônios naturais, inibindo a ovulação e alterações na secreção do útero, evitando a gravidez.
Redoxon Gotas;Quais são os princípios do funcionamento de Redoxon Gotas?;Redoxon contém na sua fórmula Vitamina C que atua no sistema imune, melhorando as defesas do organismo contra infecções. É importante também no crescimento e fortalecimento dos ossos e processos de cicatrização de feridas.
Psicoglut;Quais são as orientações específicas para utilizar Psicoglut?;Até 7 anos de idade: 1 comprimido ou meia medida (5 ml) ao dia. De 7 a 14 anos: 1 comprimido ou meia medida (5 ml) 2 vezes ao dia. 14 anos e adultos: 1 comprimido ou meia medida (5 ml) 3 vezes ao 10 dia.
Wellbutrin XL 150 mg;Quais são as orientações específicas para utilizar Wellbutrin XL 150 mg?;A dose usual recomendada para a maioria dos adultos é de um comprimido de 150 mg por dia. O médico pode aumentar a dose para 300 mg por dia, caso a depressão não melhore após várias semanas.
Hipoglós;Quando não devo usar Hipoglós?;Hipoglós ou Hipoglós amêndoas está contraindicado para pacientes com alergia a algum dos componentes da fórmula.
Benicar;Em que circunstâncias eu não deveria utilizar Benicar?;Não deve ser usado por crianças ou adolescentes com idade inferior a 18 anos, mulheres grávidas e por pessoas com alergia a qualquer componente da fórmula.
Keppra;Como funciona Keppra?;Keppra é um medicamento que tem na sua composição Levetiracetam, um derivado da pirrolidona com propriedades antiepiléticas, capaz de tratar as crises de epilepsia.
Infanrix;Quais são as contraindicações para Infanrix?;DTPa não deve ser administrada em pessoas que tenham alergia a qualquer componente da vacina.
Pedialyte 90;Em que situações médicas é recomendado o uso de Pedialyte 90?;Reposição das perdas acumuladas de água e eletrólitos (reidratação), ou para manutenção da hidratação (após a fase de reidratação), em quadros de doença diarréica aguda, de qualquer etiologia, tanto em crianças quanto em adultos.
Cubitan;Qual é o mecanismo de ação de Cubitan?;Na sua composição tem nutrientes que regulam o processo inflamatório e estimulam a cicatrização.
Priligy;Quais são os princípios do funcionamento de Priligy?;Priligy é um medicamento que tem na sua composição Dapoxetina, um composto capaz de tratar aejaculação precoce, que ocorre após pouca estimulação sexual ou a incapacidade do homem em controlar ou atrasar a ejaculação.
Ribavirina;Quais são as orientações específicas para utilizar Ribavirina?;- Hepatite A e B : Ribavirina 10 mg/kg/dia, via oral, dividida em 4 doses (por 14 dias) demonstrou ser benéfica quando administrada a crianças com Hepatite tipo A ou B. Não foi feita a distinção entre HbsAg positivo ou negativo. Uma redução significante nos valores de SGPT ocorreram no 71 dia de tratamento quando comparado com pacientes tratados com placebo. A bilirrubina sérica diminuiu em todos os dias nos pacientes tratados com ribavirina. Observou-se também melhora nos sintomas (melhora do apetite, náusea, vômito, sensação de bem estar). Duzentos miligramas de ribavirina, via oral, 3 vezes ao dia por duas semanas administrada a pacientes com Hepatite A demonstrou uma grande melhora na bilirrubina total e direta, SGPT e SGOT e melhor ganho de peso que os pacientes tratados com placebo.
Oxandrolona;Quais os males que Oxandrolona pode me causar?;Alguns dos efeitos colaterais de Oxandrolona incluem virilismo, irritação na bexiga, sensibilidade ou dores nos seios, ginecomastia, priapismo, acne, disfunção hepática, diminuição dos fatores da coagulação, hipercalcemia, leucemia, hipertrofia prostática, diarreia, alterações da libido e alterações do ciclo menstrual.
Fotilan;Qual é a posologia recomendada para Fotilan?;"Comprimidos revestidos 100mg: deve ser utilizado por via oral na dose de 1 comprimidos revestidos 1 vez ao dia . Utilizar por no máximo três meses. ""Este medicamento não pode ser partido, aberto ou mastigado"".  “Siga corretamente o modo de usar. Em caso de dúvidas sobre este medicamento, procure orientação do farmacêutico. Não desaparecendo os sintomas, procure orientação de seu médico ou cirurgião-dentista.”"
Signifor;Como Signifor atua no organismo para produzir seus efeitos?;O Signifor é uma medicação que tem na sua composição pasireotido, que atua de forma semelhante à somatostatina, um hormânio produzido naturalmente pelo corpo e que controla a glicose no sangue, melhorando os sintomas da doença de crushing.
