Nome;Para que serve?;Como usar?;Quais os males que pode me causar?;Quando não devo usar?;Como funciona?;O que devo saber antes de usar?;O que fazer se alguém usar uma quantidade maior do que a indicada?;Onde como e por quanto tempo posso guardar?;Laboratório
Virilon;Virion é utilizado como vitalizante, energético, contra o stress.;Tomar de um a três comprimidos ao dia.;Não são conhecidos até o momento, nas doses habitualmente preconizadas.;Hipersensibilidade conhecida a qualquer um dos componentes da fórmula.;Ginseng - Planta tradicionalmente utilizada e de reconhecido uso científico, indicado para os estados de fadiga física e mental, bem como adaptógeno (planta que equilibra o organismo, melhorando inclusive os sistemas imunológicos).	Catuaba - Planta brasileira utilizada popularmente, como afrodisíaco e tonificante do sistema nervoso central. É também um modificador das funções vegetativas, atuando no nível dos centros nervosos, interferindo na condução de impulsos nervosos motores, ou seja, por mecanismos depressores ou excitatórios.	Marapuama - Utilizada popularmente, como afrodisíaco, anti-reumático, anti-stress, antidesintérico e tônico.	Vitamina E (alfa-tocoferol) - A vitamina E é essencial ao organismo atua como anti radical livre e não manifesta nenhuma toxicidade para a fórmula proposta.;Virion na gravidez e amamentação:informe seu médico ou cirurgião dentista a ocorrência de gravidez na vigência do tratamento ou após seu término.;Se você tomar uma dose muito grande deste medicamento acidentalmente, deve procurar um médico imediatamente.;Você deve conservar Virilon em temperatura ambiente (entre 15ºC e 30ºC).;
Vitacid Acne;Vitacid Acne gel é um medicamento com uma combinação de antibiótico e retinóide, utilizado para o tratamento da pele com acne vulgar leve a moderada e de lesões inflamatórias e não inflamatórias.;Este gel deve ser aplicado na pele na hora de dormir. A quantidade deve ser do tamanho de uma ervilha e aplicada em pontos do queixo, bochechas, nariz e testa, e em seguida, espalhar suavemente sobre o rosto inteiro.;Os efeitos colaterais que podem ocorrer com o uso de Vitacid Acne são descamação da pele, eritema, coceira, edema, pele seca, ulceração da pele, irritação da pele, manchas, sensibilidade, fissuras e scurecimento da pele, ardência no local de aplicação e edema palpebral.;O Vitacid Acne é contraindicado em pacientes com enterite regional, colite ulcerativa ou história de colite associada a antibióticos.;O Vitacid Acne contém clindamicina, que é um antibiótico que inibe a síntese de proteínas no Propionibacterium acnes, um organismo que tem sido associado com a acne vulgar.;Este produto não deve ser utilizado em combinação com outros produtos contendo eritromicina devido ao seu componente clindamicina.;;;
Vitacid Plus;Vitacid Plus creme é um remédio que ajuda a diminuir o melasma moderado a grave, que se caracteriza pelo aparecimento de manchas escuras na pele.;O creme deve ser utilizado à noite, 30 minutos antes de deitar.;Os efeitos colaterais mais comuns são descamação, ardência, ressecamento, coceira, acne, sensação de formigamento, queimação, picada ou adormecimento da pele, eritema, presença de vasinhos na pele, aumento da intensidade das sensações, alterações da coloração da pele e irritação.;Vitacid Plus é contraindicado em pessoas com histórico de hipersensibilidade, alergia ou intolerância aos componentes do creme.;Vitacid Plus é um creme que tem na sua composição hidroquinona, tretinoína e fluocinolona.;Não deve ser utilizado por mulheres grávidas, mães lactantes, crianças e idosos, sem orientação médica.;O uso excessivo do creme pode provocar irritação da pele e, nesses casos, deve-se ir ao dermatologista que receitou o creme.;;
Vitamina B 12;Vitamina B12 é indicada para combater a anemia e o envelhecimento precoce da pele e no tratamento de casos de deficiência de Vitamina B12 e casos de intoxicação por cianeto. Além disso, é também indicada como tratamento auxiliar para a das dores osteoarticulares e musculares, em adultos.;As quantidades de Vitamina B12 a utilizar e a duração do tratamento dependem do problema a tratar, e devem ser indicadas pelo seu médico.;Alguns dos efeitos colaterais de Vitamina B12​ podem incluir reações alérgicas, com sintomas como coceira na pele, urticária, broncoespasmo e angioedema.;Vitamina B12 está contraindicada para pacientes com hipervitaminose de Vitamina B12 e para pacientes com alergia à Vitamina B12 ou a outros componentes da fórmula.;A Vitamina B12, quando administrada em doses elevadas, possui ação antiálgica, relacionada ao sistema nervoso espinhal, radicular e periférico. Além disso, a Vitamina B12 é necessária para a síntese de mielina e para a manutenção da integridade do tecido nervoso.;Antes de usar Vitamina B12​, deverá falar com o seu médico se estiver grávida, pretendendo engravidar ou amamentando, estiver a tomar outros medicamentos, tiver hipersensibilidade à hidroxocobalamina;A bula do medicamento não refere efeitos de superdosagem.;;
Vitanol A;Vitanol A é indicado no tratamento das linhas de expressão, manchas e asperezas da pele facial, características do envelhecimento da pele pelo sol e também no tratamento da acne vulgar, especialmente da acne leve ou de grau I, onde predominam os cravinhos e bolinhas de pus.;"Lavar e secar cuidadosamente as áreas afetadas, à noite, de preferência antes de dormir; aplicar uma fina camada de Vitanol-A creme ou gel, massageando levemente em círculos.";Poderão ocorrer vermelhidão e ardor local transitórios, considerados normais na terapia com tretinoína.;Os estudos efetuados em laboratório e as experiências clínicas realizadas, até o momento, não mostram qualquer contra-indicação ao uso tópico da tretinoína, mas o produto não deve ser usado por pessoas hipersensíveis à tretinoína ou aos outros componentes da fórmula.;O mecanismo de ação dos retinóides no fotoenvelhecimento cutâneo não foi ainda bem estabelecido.;Durante as primeiras semanas de terapia da acne, pode-se notar uma exacerbação aparente das lesões, devido à ação da tretinoína, mas que faz parte do processo de cura.;O uso excessivo e não orientado pelo médico poderá irritar a pele.;Prazo de validade do produto: Vitanol-A gel e Vitanol-A creme: 24 meses.;
Vitergan Master;O Vitergan Master é indicado nos estados de esgotamento, fadiga, sensação de fraqueza e diminuição da concentração.;Nas duas ou três semanas iniciais a dose recomendada é de duas cápsulas ao dia, uma no café da manhã e outra no almoço, passando-se a seguir para uma cápsula ao dia, no café da manhã.;Ocasionalmente podem ocorrer distúrbios gastrointestinais e em casos de uso prolongado de doses excessivas pode ocorrer nervosismo, insônia, erupções cutâneas e hipertensão arterial.Este produto contém o corante amarelo tartrazina, que pode causar reações alérgicas, como asma brônquica, especialmente em pessoas alérgicas ao ácido acetilsalicílico.;O Vitergan Master é contra-indicado para pessoas que apresentem hipersensibilidade a qualquer um dos componentes da fórmula, que tenham distúrbios do metabolismo do cálcio, hipercalcemia, hipercalciúria, hipervitaminose A e D, insuficiência renal e que estejam a fazer com retinóides.;;Caso a pessoa engravide durante o tratamento com Vitergan, deve avisar o médico de imediato.;Até o momento não são conhecidos casos de intoxicação por superdosagem de Vitergan Master.Em caso de superdosagem, recomenda-se uma terapêutica sintomática de apoio.;;
Viticromin;Viticromin é um remédio fitoterápico indicado para aumentar a pigmentação da pele, em casos de vitiligo ou de problemas relacionados com a pigmentação da peIe, em adultos e crianças.;Viticromin comprimidos;Em casos de alergia ao medicamento, Viticromin pode causar inchaço, vermelhidão, coceira ou urticária na pele.;Viticromin está contraindicado para grávidas e mulheres amamentando, pacientes e para pacientes com alergia a algum dos componentes da fórmula.;Viticromin é um remédio fitoterápico que aumenta a pigmentação da pele, pois apresenta uma ação foto-sembilizante.;Antes de usar Viticromin, deverá falar com o seu médico se estiver grávida ou amamentando, tiver algum problema grave de saúde, histórico de alergias a outros medicamentos ou compostos ou se estiver a tomar outros medicamentos.;Em caso de toma excessiva de Viticromin​, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento.;;
Vivanza;Vivanza é indicado para o tratamento da impotência sexual masculina, em homens.;A dose recomendada de Vivanza para adultos é de 10 mg, 2 comprimidos de Vivanza 5 mg ou 1 comprimido de Vivanza 10 mg, uma vez por dia, cerca de 25 a 60 minutos antes do contacto íntimo. O inicio do efeito de Vivanza, varia de paciente para paciente, no entanto poderá conseguir uma ereção entre os primeiros 25 minutos até cerca de 4 a 5 horas após a administração, sendo sempre fundamental que o homem tenha um estímulo sexual.;Alguns dos efeitos colaterais de Vivanza incluem dor de cabeça, tontura, vermelhidão, nariz entupido ou a pingar ou problemas de digestão.;Vivanza está contraindicado para pacientes com menos de 18 anos ou mais de 75 anos de idade, doenças no coração ou fígado, pressão sanguínea baixa, que estejam a fazer hemodiálise, pacientes com historial de acidente vascular cerebral, ataque cardíaco, doenças degenerativas dos olhos ou neuropatia ótica isquêmica anterior não arterítica e para pacientes com alergia à Vardenafila ou a outros componentes da fórmula.;Vivanza é um medicamento que tem na sua composição Cloridrato de Vardenafila, um composto que pertence à classe dos medicamentos inibidores da fosfodiesterase tipo 5, usados no tratamento da impotência sexual masculina. A disfunção erétil é uma condição que implica dificuldades em obter ou manter uma ereção, muitas vezes por causas físicas ou psicológicas, havendo alterações nos músculos e vasos sanguíneos, que fazem com que no pênis não permaneça uma quantidade de sangue suficiente para que este se torne e mantenha duro.;Antes de usar Vivanza​, deverá falar com o seu médico se estiver a tomar outros medicamentos, tiver problemas de coração, batimentos irregulares, tiver úlceras de estômago ou se tiver alteração da coagulação sanguínea.;Em caso de toma excessiva de Vivanza​, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento. Um dos efeitos mais comuns que pode sentir após a toma excessiva de Vivanza são as dores fortes nas costas.;;
Viverdal;No tratamento das psicoses esquizofrênicas agudas e crônicas e de outros distúrbios psicóticos nos quais os sintomas positivos (tais como alucinações, delírios, distúrbios do pensamento, hostilidade, desconfiança) e/ou negativos (tais como embotamento afetivo, isolamento emocional e social, pobreza de discurso) são proeminentes. A risperidona também alivia outros sintomas afetivos associados à esquizofrenia, tais como depressão, sentimento de culpa e ansiedade.;Adultos e adolescentes acima de 15 anos:Os pacientes devem atingir uma dose de 3mg, 2 vezes ao dia, progressivamente, em 3 dias. Todos os pacientes agudos ou crônicos, devem começar o tratamento clínico com 1mg de risperidona, 2 vezes ao dia, no primeiro dia. A dose deve ser aumentada para 2mg, 2 vezes ao dia, no segundo dia e para 3mg, duas vezes ao dia no terceiro dia. A partir de então, a dose deve permanecer inalterada, ou ser posteriormente, individualizada, se necessário. A dose habitual é de 2 a 4mg, 2 vezes ao dia.Doses acima de 5mg, duas vezes ao dia, não se mostraram superiores em eficácia às doses mais baixas e podem provocar mais sintomas extrapiramidais. A segurança de doses superiores a 8mg, 2 vezes ao dia, não foram avaliadas e não devem ser utilizadas. Uma benzodiazepina pode ser associada a risperidona quando uma sedação adicional for necessária.Idosos e pacientes com doença renal ou hepática:A dose inicial recomendada é de 0,5mg, duas vezes ao dia. Esta dose pode ser ajustada com aumentos de 0,5mg, duas vezes ao dia, a 1-2mg, 2 vezes ao dia. A administração da risperidona nestes pacientes deve ser feita com cautela até que uma experiência com este grupo de pacientes seja avançada.Crianças:Falta experiência de uso da risperidona em crianças abaixo de 15 anos de idade.;;O uso da risperidona é contra-indicado a pacientes com hipersensibilidade à droga.;;;Em geral os sinais e sintomas foram aqueles resultantes da exacerbação dos efeitos farmacológicos conhecidos do Viverdal. Estas incluem sonolência e sedação, taquicardia, hipotensão e sintomas extrapiramidais. Foram relatados casos de superdose com quantidades de até 360mg. A análise destes casos sugere uma ampla margem de segurança. Em um paciente com hipocalemia concomitante que ingeriu 360mg, relatou-se um prolongamento do intervalo QT. Em caso de superdose aguda, a possibilidade de envolvimento de várias drogas deve ser considerada.O tratamento recomendado para a superdosagem compreende na manutenção livre das vias aéreas e garantir uma boa ventilação com oxigenação adequada. Lavagem gástrica (após intubação se o paciente estiver inconsciente) e a administração de carvão ativado com laxantes deve ser consideradas. Monitoração cardiovascular deve começar imediatamente e deve incluir monitorização com o ECG contínuo para detecção de possíveis arritmias. Não existe antídoto específico para a risperidona. Assim, medidas de suporte devem ser instituídas. A hipotensão e o colapso circulatório devem ser tratados com medidas apropriadas (infusões de líquidos e/ou agentes simpaticomiméticos. Em caso de sintomatologia extrapiramidal severa, anticolinérgicos devem ser administrados.;;
Vodol;O Vodol é um remédio indicado no tratamento de Tinea pedis, Tinea cruris, Tinea corporis e micose nas unhas causadas pelo Trychophyton, Epidermophyton e Microsporum, candidíase cutânea, Tinea versicolor e cromofitose.;A aplicação do produto deve ser feita após lavagem e secagem do local e depois deve ser espalhado por uma região um pouco maior do que a afetada. Se a área atingida não forem as mãos, deve-se lavar cuidadosamente após a aplicação.;Este medicamento é geralmente bem tolerado, no entanto, em alguns casos, pode ocorrer irritação, sensação de ardência ou maceração no local da aplicação.;Este medicamento não deve ser usado em pessoas que tenham hipersensibilidade ao miconazol ou qualquer componente presente na fórmula.;;Este remédio não deve ser usado em grávidas ou mulheres que estejam a amamentar, a não ser que seja recomendado pelo médico.;;;
Voltaren;Voltaren em comprimidos ou supositórios é indicado para o tratamento da dor, da inflamação e da febre, dores associadas a diferentes tipos de reumatismo como dor reumática das articulações, síndrome do ombro congelado ou crises de gota, dor nas costas, entorses, cotovelo de tenista, distensões ou outras lesões, infecções do ouvido, nariz e garganta e no tratamento de inflamações dolorosas em ginecologia, como períodos menstruais, em adultos.;Voltaren comprimidos;Alguns dos efeitos colaterais de Voltaren podem incluir dor de cabeça, tontura, vertigem, náusea, vômito, diarreia, má digestão, dor abdominal, excesso de gases, perda do apetite, alterações nos resultados dos exames de função do fígado, vermelhidão na pele com ou sem descamação.;Voltaren está contraindicado para mulheres grávidas ou amamentando, crianças e adolescentes com menos de 14 anos de idade, pacientes com historial de alergia a outros medicamentos para tratar inflamação ou dor como Ácido Acetilsalicílico, Diclofenaco ou Ibuprofeno, pacientes com úlcera ou problemas de sangramento no estômago ou no intestino, doenças ou problemas no fígado, rins ou coração, e para pacientes com alergia ao Diclofenaco ou a algum dos componentes da fórmula.;Voltaren é um medicamento que pertence ao grupo dos anti-inflamatórios não - esteroides, os AINEs, usados geralmente para o tratamento da dor e da inflamação.;Antes de usar Voltaren, deverá falar com o seu médico se estiver grávida, com suspeitas de gravidez ou amamentando, tiver mais de 65 anos, tiver intolerância a alguns tipos de açúcares, doenças ou problemas no coração, fígado ou rins, tiver pressão arterial alta, hemorragias, problemas no sangue, níveis de gordura anormais ou elevados, diabetes, for fumador, estiver a tomar outros anti-inflamatórios, tiver asma ou outra doença alérgica como a rinite alérgica sazonal, tiver historial de problemas gastrintestinais como úlcera no estômago, sangramento ou fezes pretas, desconforto no estômago ou azia após ter tomado anti-inflamatórios, tiver inflamação no cólon ou no trato intestinal, inchaço nos pés ou se estiver desidratado, ou se estiver a tomar outros medicamentos, incluindo medicamentos sem receita médica.;Em caso de toma excessiva de Voltaren, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento. Alguns dos efeitos mais comuns que pode sentir após a toma excessiva de Voltaren​ podem incluir vômito, sangramento no estômago e intestino, diarreia, tontura, zumbido ou convulsões.;;
Voltaren Emulgel;Voltaren Emulgel 10 mg/g gel é indicado para tratar e aliviar a dor, reduzir a inflamação e o inchaço em situações que afetam os músculos e articulações, sendo utilizado para o alívio de dores musculares ligeiras e moderadas, inflamações pós-traumáticas dos tendões, ligamentos, entorses, luxações, contusões e formas localizadas de reumatismo degenerativo como osteoartrose das articulações periféricas e coluna vertebral.;Voltaren Emulgel deve ser aplicado de acordo com as seguintes instruções de utilização: antes da primeira utilização deve perfurar a membrana que sela a bisnaga com o espigão da tampa, seguidamente aplique suavemente uma pequena quantidade do gel na pele, onde tem a dor ou o inchaço e por fim lave as mãos após a aplicação. A dose de Voltaren Emulgel a administrar varia consoante a extensão da área afetada, no entanto, geralmente é suficiente uma quantidade cujas dimensões aproximadas variam entre uma cereja e uma noz. A duração do tratamento com Voltaren Emulgel pode variar entre as 2 semanas para lesões musculares e articulares e as 3 semanas para dores das artroses.;Alguns dos efeitos colaterais de Voltaren Emulgel podem incluir: pieira ou falta de ar - asma,  inchaço da face ou língua, corrimento nasal ou erupção cutâneo com bolhas, urticária, comichão, vermelhidão ou descamação da pele.;A administração de Voltaren Emulgel é contraindicada se: tiver alergia ao Diclofenaco ou a outros componentes da fórmula, tiver sofrido alguma reação alérgica ao Diclofenaco ou a outros medicamentos utilizados no tratamento da dor, febre ou inflamação, como o ibuprofeno ou o ácido acetilsalicílico, estiver nos últimos 3 meses de gravidez ou amamentando ou a crianças e adolescentes com idade inferior a 14 anos.;;Antes de usar Voltaren Emulgel deverá falar com o seu médico e a sua administração deve ser evitada nos seguintes casos: em pele com cortes, em feridas abertas, em pele com rash ou eczema, em áreas extensas de pele, durante um longo período de tempo, na boca, nos olhos ou em outros sitos que não sejam externos e sob pensos oclusivos ao ar.;Em caso de administração excessiva de Voltaren Emulgel ou em caso de ingestão acidental do produto deve consultar o seu médico ou dirigir-se ao hospital mais próximo.;Voltaren Emulgel deve ser conservado a uma temperatura inferior a 30 graus e protegido da luz e umidade.;
Voltaren Injetável;Voltaren Solução Injetável é indicado para o tratamento da inflamação, da dor, do inchaço e da febre, de doenças degenerativas e inflamatórias de reumatismo, como a artrite reumatoide e a osteoartrite, doenças da coluna vertebral, reumatismo não-articular, crises agudas de gota, cólica renal e biliar e no tratamento de condições inflamatórias pós-operatórias e pós-traumáticas.;A dose regular de Voltaren Solução Injetável recomendada para adultos é de 1 ampola de 75 mg por dia, injetada na nádega.;;A administração de Voltaren Solução Injetável é contraindicada a crianças e adolescentes com idade inferior a 18 anos.;;Voltaren Injetável é Voltaren na forma de solução para injeção e deve apenas ser administrado no músculo.;;Voltaren Solução Injetável deve ser guardado em temperatura ambiente, entre 15°C e 30°C, protegido da luz e umidade.;
Voltaren Retard;Voltaren Retard são comprimidos de 100 mg de diclofenac, indicado para o tratamento da inflação de da dor, dores nas costas, dor reumática das articulações como artrite e em casos de entorses, tratamento de distensões e outras lesões, tratamento de casos de inflamações dolorosas em ginecologia, incluindo períodos menstruais, dores e inchaços após cirurgia, tratamento de crises de gota e no tratamento de diferentes tipos de reumatismo como o síndrome do ombro congelado e cotovelo de tenista.;A dose diária de Voltaren Retard 100 mg recomendada para adultos é de 100 a 150 mg, podendo tomar 1 comprimido de Voltaren Retard 100 mg ou 2 comprimidos de Voltaren SR 75 mg, por dia. A dose total diária de Voltaren pode ser administrada em 1 ou 2 doses durante o dia, nunca excedendo a dose máxima de 150 mg por dia. Para o tratamento de casos mais leves ou terapia a longo prazo, a dose recomendada é de 75 mg a 100 mg, podendo tomar 1 comprimido de Voltaren SR 75 mg ou 1 comprimido de Voltaren Retard 100 mg, por dia. Os comprimidos devem ser engolidos inteiros, sem partir ou mastigar, com um copo de água e com alimentos.;;A administração de Voltaren Retard é contraindicada a crianças e adolescentes com idade inferior a 14 anos, com exceção de casos de artrite juvenil crônica.;;;Em caso de toma excessiva de Voltaren Retard deve dirigir-se ao hospital mais próximo, o mais rápido possível, levando a embalagem ou bula do medicamento. Alguns dos efeitos mais comuns que pode sentir após a toma excessiva de Voltaren Retard são: vômito, hemorragia gastrintestinal, diarreia, tontura, zumbido ou convulsões.;Voltaren Retard 100 mg deve ser guardado em temperatura ambiente, entre 15°C e 30°C, protegido da luz e umidade.;
Voltaren SR 75 mg;Voltaren SR 75 mg comprimidos é indicado para o tratamento da dor e da inflamação, dores e inchaços após cirurgia, crises de gota, dores nas costas, síndrome do ombro congelado, cotovelo de tenista, e outros tipos de reumatismo, dor reumática das articulações como artrite e em casos de entorses, distensões e outras lesões ou em casos de inflamações dolorosas em ginecologia, incluindo períodos menstruais.;A dose inicial de Voltaren SR 75 mg recomendada para adultos é de 100 a 150 mg, 2 comprimidos de Voltaren SR 75 mg, por dia ou podendo tomar 1 comprimido de Voltaren Retard 100 mg.;;A administração de Voltaren SR 75 mg é contraindicada a crianças e adolescentes com idade inferior a 14 anos, com exceção de casos de artrite juvenil crônica.;;;Em caso de toma excessiva de Voltaren SR 75 mg deve dirigir-se ao hospital mais próximo, o mais rápido possível, levando a embalagem ou bula do medicamento. Alguns dos efeitos mais comuns que pode sentir após a toma excessiva de Voltaren SR 75 mg são: vômito, hemorragia gastrintestinal, diarreia, tontura, zumbido ou convulsões.;Voltaren SR 75 mg deve ser guardado em temperatura ambiente, entre 15°C e 30°C, protegido da luz e umidade.;
Vonau comprimido;O Vonau é usado para prevenir e tratar enjôos ou vômitos, durante o tratamento com quimioterapia ou radioterapia, assim como após cirurgias.;A dose de Vonau deve ser de 8 a 32 mg pordia, dependendo da intensidade dos vômito causado pelos tratamentos ao câncer e que varia de acordo com as doses e remédios usados.;O Vonau pode causar efeitos secundários como diarreia, prisão de ventre, dor de cabeça e cansaço.;Este remédio não pode ser usado em crianças com menos de 2 anos, nem utilizado por pessoas com alregia conhecida à Ondansetrona ou qualquer outro componente da fórmula.;A substância ativa de Vonau é a ondansetrona, um antagonista seletivo dos receptores de serotonina, uma substância que é liberada do intestino durante os tratamentos ao câncer e que ao se ligarem aos referidos recetores provoca o vômito.;Este remédio não deve ser utilizado por mulheres grávidas sem indicação e orientação médica e deve que ser usado com cautela em casos de pessoas com problemas no fígado, operados à barriga e em pessoas que sofram de uma deonça de família provocada pela falta de uma enzima chamada fenilalanina hidroxilase, uma vez que Vonau comprimidos contêm na sua composição uma pequena quantidade de fenilalanina.;Em casos de se tomar uma dose superior à indicada deve-se procurar de imediato socorro médico de forma a iniciar o tratamento dos sintomas que poderão ser cegueira repentina de 2 a 3 minutos de duração, prisão de ventre grave, pressão baixa e fraqueza.;;
Vytorin;Hipercolesterolemia Primária Vytorin™ é indicado como terapia adjuvante à dieta  para reduzir níveis elevados de colesterol total, colesterol ligado a lipoproteína de baixa densidade (LDL-C), apolipoproteína B (Apo B),  triglicérides (TG) e colesterol não ligado a  lipoproteína de alta densidade (não-HDL-C) e para aumentar os níveis de colesterol ligado a lipoproteína de alta densidade (HDL-C) em pacientes com hipercolesterolemia primária (heterozigótica familiar e não familiar) ou hiperlipidemia mista.  Hipercolesterolemia Familiar Homozigótica (HFHo) Vytorin™, é indicado para reduzir os níveis elevados de colesterol total e de LDL-C em pacientes com HFHo. Os pacientes também podem receber tratamentos adjuvantes (p. ex., aférese de LDL).;O paciente deve iniciar uma dieta redutora de colesterol padrão antes de receber Vytorin™ e deve mantê-la durante o tratamento com Vytorin™. A posologia deve ser individualizada de acordo com o nível basal de LDL-C, a meta de tratamento recomendada e a resposta do paciente. Vytorin™ deve ser tomado em dose única diária à noite, com ou sem alimentos.  A variação posológica é de 10/10 mg/dia até 10/80 mg/dia. A dose inicial usual recomendada é de 10/20 mg/dia. O início da terapia com 10/10 mg/dia pode ser considerado para pacientes que requeiram redução menos agressiva do LDL-C. Os pacientes que necessitam de  reduções maiores (acima de 55%) podem iniciar o tratamento com 10/40 mg/dia. Os níveis lipídicos podem ser analisados depois de 2 semanas , ou mais, a partir do início ou da titulação da dose de Vytorin™ e a posologia pode ser ajustada, se necessário.  Posologia para Pacientes com Hipercolesterolemia Familiar Homozigótica A posologia recomendada para pacientes com hipercolesterolemia familiar homozigótica é de 10/40 mg/dia ou 10/80 mg/dia de Vytorin™ à noite. Para esses pacientes, Vytorin™  deve ser usado como adjuvante de outros tratamentos hipolipemiantes (p. ex., aférese de LDL) ou quando esses tratamentos não estiverem disponíveis.  Uso em Idosos  Não é necessário ajuste posológico para pacientes idosos . Uso em Pacientes Pediátricos  O tratamento com Vytorin™  não é recomendado.  Uso em Insuficiência Hepática Não é necessário ajuste posológico para pacientes com insuficiência hepática leve (escore de Child- Pugh de 5 a 6) O tratamento com Vytorin™ não é recomendado para pacientes com disfunção hepática moderada (escore de  Child-Pugh de 7 a 9) ou grave (escore de Child-Pugh > 9) Uso em Insuficiência Renal  Não é necessário ajuste posológico para pacientes com insuficiência renal moderada. Se o tratamento de pacientes com insuficiência renal grave (depuração de creatinina  ≤ 30 mL/min) for considerado necessário, posologias superiores  a 10/10 mg/dia devem ser implementadas com cautela .  Administração concomitante com outros medicamentos Vytorin™ deve ser administrado  ≥ 2 horas antes ou  ≥ 4 horas após a administração de um seqüestrante de ácidos biliares.  Em pacientes que estão tomando ciclosporina ou  ≥ 1 g/dia de niacina concomitantemente a Vytorin™, a dose de Vytorin™ não deve exceder 10/10 mg/dia. A dose de Vytorin™ não deve exceder 10/20 mg/dia para pacientes que estiverem tomando amiodarona ou verapamil concomitantemente.;"ATENÇÃO: Este é um medicamento novo e, embora as pesquisas tenham indicado eficácia e segurança aceitáveis para comercialização, efeitos indesejáveis e não conhecidos podem ocorrer. Nestes casos, informe a seu médico.   A segurança da co-administração de ezetimiba e sinvastatina equivalente a Vytorin™  (10/10, 10/20, 10/40 e 10/80) foi avaliada em mais de 3.200 pacientes em estudos clínicos. Vytorin™ foi geralmente bem tolerado.  As seguintes experiências adversas comuns (≥ 1/100, < 1/10) relacionadas ao medicamento foram relatadas por pacientes que tomaram Vytorin™ (n= 627) em dois estudos de desenhos semelhantes e controlados com placebo:  Distúrbios gerais: astenia.   Distúrbios músculo-esqueléticos, dos tecidos conjuntivo e ósseo: artralgia, mialgia.  Distúrbios do sistema nervoso: tontura, cefaléia.  Outros eventos adversos comumente relatados com ezetimiba: a) durante estudos clínicos:  distúrbios gastrintestinais:  dor abdominal, diarréia;  distúrbios gerais: fadiga, doença semelhante à gripe; distúrbios músculo-esqueléticos, dos tecidos conjuntivo e ósseo: cãibra muscular;  b) raramente (≥ 1/10.000, < 1/1000) após a comercialização: distúrbios da pele e do tecido subcutâneo: reações de hipersensibilidade, incluindo angioedema e erupções cutâneas. Outros eventos adversos raramente relatados com sinvastatina durante estudos clínicos e/ou após a comercialização: distúrbios hematológicos e do sistema linfático: anemia;  distúrbios gastrintestinais:  dor abdominal, constipação, diarréia, dispepsia, flatulência, náuseas, vômitos, pancreatite;  distúrbios hepáticos:  hepatite/icterícia;  distúrbios músculo-esqueléticos, dos tecidos conjuntivo e ósseo:  cãibra muscular, miopatia, rabdomiólise (veja  ADVERTÊNCIAS); distúrbios do sistema nervoso:  parestesia, neuropatia periférica;  distúrbios da pele e do  tecido subcutâneo: alopecia, prurido, erupções cutâneas.  Raramente foi relatada uma síndrome de hipersensibilidade evidente, com algumas das seguintes características: angioedema, síndrome semelhante ao lúpus, polimialgia reumática, dermatomiosite, vasculite, trombocitopenia, eosinofilia, VHS aumentada, artrite e artralgia, urticária, fotossensibilidade, febre, rubor facial e do pescoço, dispnéia e mal-estar.";• Hipersensibilidade aos princípios ativos ou a qualquer dos excipientes. • Hepatopatia ativa ou elevações persistentes e inexplicadas das transaminases séricas. • Gravidez e lactação (veja ADVERTÊNCIAS, Gravidez e Lactação).;;É importante que você continue tomando Vytorin™  diariamente, conforme prescrito pelo seu médico.  Mesmo que você esteja tomando medicamento para tratar o colesterol alto, é importante fazer o exame de colesterol regularmente. Você deve conhecer os seus níveis de colesterol e as metas apropriadas para você.   Gravidez Este medicamento não deve ser usado por mulheres grávidas ou que possam ficar grávidas durante o tratamento.  Se você engravidar enquanto estiver tomando Vytorin™  interrompa o tratamento e fale com seu médico imediatamente.  Amamentação: Não tome Vytorin™  se você estiver amamentando.;"Vytorin™  Nenhum tratamento específico para a superdosagem com Vytorin™ pode ser recomendado. No caso de superdosagem, devem ser empregadas medidas sintomáticas e de suporte. A co-administração de ezetimiba (1.000 mg/kg) e sinvastatina (1.000 mg/kg) foi bem tolerada em estudos de toxicidade oral, aguda, em camundongos e ratos. Não foram observados sinais clínicos de toxicidade nesses animais. A DL50 oral estimada para as duas espécies foi ezetimiba ≥1.000 mg/kg/sinvastatina ≥1.000 mg/kg.  Ezetimiba Em estudos clínicos, a administração de ezetimiba, na posologia de 50 mg/dia a 15 indivíduos saudáveis durante até 14 dias ou de 40 mg/dia a 18 pacientes com hipercolesterolemia primária durante até 56 dias, foi geralmente bem tolerada.   Foram relatados poucos casos de superdosagem; a maioria não foi associada a eventos adversos. Os eventos adversos relatados não eram graves.   Sinvastatina Foram relatados poucos casos de superdosagem; a  dose máxima usada foi de 3,6 g. Todos os pacientes se recuperaram sem seqüelas.";;
