;Nome;Pergunta;Resposta;Resposta_predita
428;Gets;Qual é o mecanismo de ação de Gets?;Antes de usar Gets-It​, deverá falar com o seu médico se estiver grávida ou amentando, pretender administrar a crianças com menos de 12 anos de idade ou com alguma infecção viral como varicela ou gripe , tiver problemas nos rins, fígado ou vasos sanguíneos, tiver diabetes, gripe ou inflamação, irritação ou infecção na pele, ingerir bebidas alcoólicas regularmente ou drogas, for fumador, tiver alergia ao ácido salicílico, a outros medicamentos, comidas, corantes, conservantes ou animais ou se estiver a tomar outros medicamentos, incluindo medicamentos sem receita médica como suplementos.;" Gets é um assistente prestativo e direto, que responde apenas ao que for pedido.   Como usar Gets pela primeira vez:  Para usar Gets pela primeira vez, você deve digitar o seguinte comando: ""Gets help"" seguido do seu nome. Por exemplo, se seu nome é Ana, digite ""Gets help Ana"".  Para utilizar Gets após a primeira vez, você deve digitar o seguinte comando: ""Gets Ana"" ou o seu nome, seguido do que você deseja saber.  Como usar Gets em geral:  Para usar Gets, você deve digitar o seguinte comando: ""Gets [seu nome]"". Por exemplo, se seu nome é Ana, digite ""Gets Ana"".  Para obter informações específicas, digite o seguinte comando: ""Gets [seu nome] [tópico]"". Por exemplo, se seu nome é Ana e você deseja saber sobre o tratamento da depressão, digite ""Gets Ana treatment depressão"".  Para obter informações gera"
441;Inflamene;Como Inflamene atua no organismo para produzir seus efeitos?;Sempre avise ao seu médico sobre todas as medicações que você toma quando ele for prescrever uma medicação nova.; Como Inflamene atua no organismo para produzir seus efeitos, é necessário que você consulte um médico ou farmacêutico.  O que você precisa saber é que Inflamene é um medicamento que atua no organismo de forma indirecta, através de um agente de atuação específico, o ácido acetilsalicílico.  O ácido acetilsalicílico é um agente anti-inflamatório não esteroide, que atua no organismo inibindo a síntese de prostaglandinas, que são responsáveis por causar a inflamação.  Assim, Inflamene é um medicamento que atua no organismo inibindo a síntese de prostaglandinas, reduzindo a inflamação.   Como você deve usar Inflamene por primeira vez, tome especial cuidado ao dirigir veículos ou operar máquinas, pois o ácido acetilsalicílico pode causar tontura.  A dose usual de Inflamene
59;Erleada;Quando não devo usar Erleada?;A apalutamida inibe seletivamente o receptor de andrógenos, diminuindo a produção desses hormônios sexuais.; Erleada não deve ser usado em casos de alergia a qualquer um dos componentes da fórmula.  Não há restrições ou recomendações especiais para o uso de Erleada.  Pode ser usado por pacientes de qualquer idade, desde que os critérios médicos para o uso sejam atendidos.  Não há restrições ou recomendações especiais para o uso de Erleada.  Pode ser usado por pacientes de qualquer idade, desde que os critérios médicos para o uso sejam atendidos.  Não há relatos de superdosagem com Erleada.  Não há relatos de interações medicamentosas com Erleada.  Não há relatos de superdosagem com Erleada.  Não há relatos de interações medicamentosas com Erleada.  Não há relatos de superdosagem com Erleada.  Não há relatos de interações medicamentosas com Erleada.   Cada comprimido de Erleada contém:  L-Ar
570;Lavitan Ômega 3;Quais os males que Lavitan Ômega 3 pode me causar?;Lavitan Ômega 3 é contraindicado para:; Lavitan Ômega 3 não deve ser usado em casos de alergia a qualquer um dos componentes da fórmula.  Não há relatos de males causados por Lavitan Ômega 3.  Como qualquer outro suplemento, Lavitan Ômega 3 não deve ser usado em casos de superdosagem.  Não há relatos de males causados por Lavitan Ômega 3.  A ingestão de doses excessivas de Lavitan Ômega 3 não causa sintomas específicos.  Em caso de superdosagem, Lavitan Ômega 3 deve ser descontinuado e o paciente deve ser encaminhado ao médico.   Cada cápsula de Lavitan Ômega 3 contém:  Óleo de peixe (30% de omega-3)  1000 mg  Excipientes  1 cápsula  (Excipientes: gelatina, glicerina, óleo de amendoim, óleo de soja, lecitina de so
396;Buscopan;Qual é a finalidade do medicamento Buscopan?;Buscopan drágeas; Buscopan é indicado para o tratamento sintomático da dor, da cólica e do desconforto abdominal, em adultos e crianças.  Além disso, Buscopan também é indicado para o tratamento da dor de cabeça, de dente e de garganta.   Buscopan Comprimidos  Adultos: a dose recomendada é de 1 a 2 comprimidos, 3 vezes ao dia, até um máximo de 6 comprimidos por dia.	Crianças: a dose recomendada é de 1 comprimido, 3 vezes ao dia, até um máximo de 2 comprimidos por dia.  Buscopan Drágeas  Adultos: a dose recomendada é de 1 drágea, 3 vezes ao dia, até um máximo de 6 drágeas por dia.	Crianças: a dose recomendada é de 1 drágea, 3 vezes ao dia, até um máximo de 2 drágeas por dia.  As drágeas de Bus
242;Almeida Prado 46;Quais são os princípios do funcionamento de Almeida Prado 46?;Como todo laxante, este produto não deve ser tomado sem interrupção por períodos prolongados.;" Os princípios do funcionamento de Almeida Prado 46 são:  Auxiliar na gestão de casos de doenças oncológicas;	Auxiliar na gestão de casos de doenças cardiovasculares;	Auxiliar na gestão de casos de doenças renais;	Auxiliar na gestão de casos de doenças hepáticas;	Auxiliar na gestão de casos de doenças respiratórias;	Auxiliar na gestão de casos de doenças musculoesqueléticas;	Auxiliar na gestão de casos de doenças urogenitais;	Auxiliar na gestão de casos de doenças neurológicas.  Como assistente prestativo e direto, Almeida Prado 46 pode ser utilizado em casos de doenças agudas ou crônicas, para auxiliar na gestão da doença e no tratamento dos sintomas associados a ela.  Como assistente prestativo e direto, Almeida Prado 46 pode ser utilizado em"
445;Motrin 600;Existem situações em que o uso de Motrin 600 não é recomendado?;Motrin é um medicamento que tem na sua composição Ibuprofeno, um composto com propriedades anti-inflamatórias, não esteroide, capaz de inibir a produção de prostaglandinas. Desta forma, o Ibuprofeno reduz a inflamação, reduz ou suprime a dor e reduz ou suprime a febre.;" Existem situações em que o uso de Motrin 600 não é recomendado, como:  Comprimidos: não deve ser usado em crianças com menos de 14 anos de idade;	Suspensão: não deve ser usada em crianças com menos de 1 ano de idade;	Aspirina: não deve ser usada em crianças com menos de 14 anos de idade;	Aspirina C: não deve ser usada em crianças com menos de 14 anos de idade;	Aspirina E: não deve ser usada em crianças com menos de 14 anos de idade;	Aspirina F: não deve ser usada em crianças com menos de 14 anos de idade;	Aspirina G: não deve ser usada em crianças com menos de 14 anos de idade;	Aspirina H: não deve ser usada em crianças com menos de 14 anos de idade;	Aspirina I: não deve ser usada em crianças com menos de"
565;Cicladol;Quando não devo usar Cicladol?;Apresenta rápida ação analgésica, iniciando seu efeito dentro de 15 a 30 minutos e é bem tolerado pelos pacientes.; Cicladol não deve ser usado em casos de alergia a qualquer um dos componentes da fórmula.  Cicladol não deve ser usado por mulheres grávidas sem orientação médica.  Cicladol não deve ser usado por mulheres que estejam amamentando.   Cicladol pode ser tomado com ou sem alimentos.  A dose usual é de 1 comprimido de 50 mg/50 mg, 2 vezes ao dia, de preferência de manhã e à noite.  A dose máxima diária não deve exceder 400 mg.  Não tome dose superior à indicada sem o conhecimento do seu médico.  Não interrompa o tratamento sem o conhecimento do seu médico.  Se você esqueceu de tomar uma dose, tome-a assim que possível e depois continue o tratamento normalmente.  Se você já tomou uma dose deste medicamento, não tome uma segunda dose.  Cicladol não deve ser partido, aberto ou
453;Collestra;Em que circunstâncias eu não deveria utilizar Collestra?;Collestra é um medicamento feito à base de Fitosteróis, substâncias presentes em diversos vegetais, legumes, castanhas e grãos.; Collestra não deve ser utilizado em casos de gravidez ou amamentação, em pessoas com alergia a qualquer componente da fórmula, em casos de doenças hepáticas ou renais graves, em casos de icterícia colestática, em casos de colite associada a diarréia, em casos de colite pseudomembranosa, em casos de colite associada a antibióticos, em casos de colite associada a quimioterápicos, em casos de colite associada a anticonvulsivantes, em casos de colite associada a corticosteróides, em casos de colite associada a antidepressivos, em casos de colite associada a antipsicóticos, em casos de colite associada a antiparkinsonianos, em casos de colite associada a anticonvulsivantes, em casos de colite associada a antidepressivos, em casos de colite associada a neurolepticos, em casos de colite associada a antiepilépticos, em casos de colite associada a disfun
686;Coenzima Q10;Em que circunstâncias eu não deveria utilizar Coenzima Q10?;A Coenzima Q10 é um poderoso oxidante que ajuda a manter a saúde do coração e é uma substância essencial para a saúde de todos os tecidos e órgãos humanos.; Não deveria ser utilizado em pessoas com alergia a qualquer componente da fórmula.  Não deverá ser utilizado em grávidas ou mulheres que estejam a amamentar, a não ser que seja recomendado pelo médico.   A dose usual é de 1 comprimido ao dia, de preferência pela manhã.  A duração do tratamento depende do problema a tratar. Para a insuficiência cardíaca congestiva, a dose usual é de 100 mg ao dia, em dose única ou fracionada. Para a insuficiência cardíaca descompensada, a dose usual é de 200 mg ao dia, em dose única. Para o tratamento de episódios anginosos, a dose usual é de 100 mg ao dia, em dose única. Para o tratamento de insuficiência cardíaca crônica, a dose usual é de 200 mg ao dia, em dose única. Para o tratamento de insuf
60;Garasone;O que Garasone pretende tratar?;Uso oftálmico:A posologia de Garasone Solução Oto/Oftálmica deve ajustar-se às necessidades de cada caso e de acordo com a orientação médica. A duração do tratamento tópico deverá variar de acordo com o tipo e a gravidade da lesão ocular. De um modo geral, recomenda-se aplicar 1 a 2 gotas de Garasone Solução Oto/Oftálmica no fundo do saco conjuntival do olho afetado, 3 a 4 vezes por dia. Nos casos agudos, esta freqüência poderá ser aumentada para até 2 gotas de hora em hora ou de 2 em 2 horas, reduzindo-se a dose tão logo se obtenha o controle da afecção.Uso otológico:Limpe cuidadosamente o cerume e a descamação do conduto auditivo externo. A posologia inicial de Garasone Solução Oto/Oftálmica é de 3 a 4 gotas, 2 a 4 vezes por dia. O paciente deverá deitar-se com o ouvido afetado para cima e permanecer nesta posição por alguns minutos após ter sido pingada a solução, a fim de assegurar a penetração da medicação no conduto auditivo. Reduzir a posologia gradativamente assim que houver resposta favorável, e interromper o tratamento quando a cura for obtida.Pode-se introduzir uma mecha de algodão embebida com a solução no conduto auditivo. Esta mecha deverá ser mantida úmida, adicionando-se mais solução a cada 4 horas. A mecha deverá ser trocada no mínimo a cada 24 horas.Em casos crônicos oftálmicos ou otológicos, a retirada do medicamento deve ser realizada gradativamente (reduzindo-se a freqüência da aplicação).; Garasone é um medicamento indicado para tratar a asma, alergia na pele, coceira, rinite alérgica, urticária, picada de inseto, conjuntivite alérgica, dermatite atópica, dermatite de contato, reações de fotossensibilidade, reações a medicamentos, rinite alérgica sazonal e urticária crônica idiopática.   A dose recomendada e a duração do tratamento com Garasone devem ser indicadas pelo seu médico, pois estas dependem da gravidade do problema a tratar e da resposta individual de cada paciente ao tratamento.  Os comprimidos de Garasone devem ser engolidos inteiros, juntamente com um copo de água, sem partir ou mastigar.   Alguns dos efeitos colaterais de Garasone podem incluir dor de cabeça, sonolência, tontura, vertigem, dor de estômago, náusea, vômito, diarreia, boca
584;Otociriax;De que maneira Otociriax deve ser administrado?;Nos estudos clínicos realizados, as reações adversas consideradas relacionadas à droga ocorreram em 3,5% dos pacientes tratados. A reações que ocorreram com uma freqüência entre 0,1% e 1% foram as seguintes reações localizadas: hipoestesia, parestesia, prurido, erupção cutânea e urticária.; Otociriax deve ser administrado por um profissional de saúde, por via oral, em um local diferente da doença.  A dose recomendada é de 1 comprimido de 1000 mg, uma vez ao dia.  Veja como melhorar o efeito deste remédio.   Os efeitos colaterais mais comuns que podem ocorrer com o uso deste medicamento são náuseas, vômitos, dor de cabeça, tontura, vertigem, sonolência, dor abdominal, prisão de ventre, diarreia, boca seca, erupção cutânea, coceira, urticária, eritema multiforme, erupção maculopapular, eritema nodoso, eritema multiforme grave, síndrome de Stevens-Johnson, necrólise epidérmica tóxica, síndrome de Lyell, necrose papilar renal, necrose papilar renal aguda, necrose papilar renal toxica, ne
464;Stivarga 40 mg;Quais são os possíveis efeitos colaterais associados a Stivarga 40 mg?;Não deve ser usado em mulheres grávidas ou que estejam a amamentar, crianças ou adolescentes com menos de 18 anos, e pessoas com alergia a qualquer componente da fórmula.; Os possíveis efeitos colaterais associados a Stivarga 40 mg incluem:  Náusea, vômito, diarreia, prisão de ventre, dor abdominal, flatulência, erupção cutânea, coceira, urticária, eritema multiforme, erupção maculopapular, eritema nodoso, eritema multiforme grave, púrpura, anemia, leucopenia, trombocitopenia, alopecia, hipotireoidismo, hipercolesterolemia, hipertrigliceridemia, hiperglicemia, hipoglicemia, hiperinsulinemia, hipoglicemia no pós-operatório, hipoglicemia no pós-parto, hipoglicemia em pacientes com diabetes mellitus e hiperglicemia em pacientes com diabetes mellitus.  Quais são os possíveis efeitos colaterais associados a Stivarga 80 mg?[/INST 
117;Oxiton;Qual é o mecanismo de ação de Oxiton?;A Oxitocina só deve ser utilizada em pacientes hospitalizadas sob restrito cuidado médico e de pessoal especializado.A indução do parto por meio da Oxitocina deve ser avaliada pelo médico observando as condições do feto e da paciente, e sob cuidadosa monitorização durante a aplicação do produto.A aplicação deve ser feita somente por infusão endovenosa gota a gota. Nas pacientes com distúrbios cárdio-vasculares, manter o volume de infusão inferior numa solução mais concentrada.; Oxiton é um medicamento que possui na sua composição Citrato de Oxitocina, um hormônio que atua no sistema nervoso central e que possui ação estimulante do apetite.  Oxiton é indicado para tratar casos de perda de peso, principalmente em casos de obesidade.   A dose recomendada de Oxiton é de 2 cápsulas, 3 vezes ao dia, antes das refeições.  As cápsulas de Oxiton devem ser engolidas inteiras, sem partir ou mastigar.   Alguns dos efeitos colaterais de Oxiton podem incluir náusea, vômito, dor de cabeça, tontura, insônia, tremores, dor abdominal, diarreia, prisão de ventre, gases, dor de estômago, indigestão, má digestão, gastrite, inflamação do estômago, dor de costas, dor nas articulações, dor nas mãos, dor nas pernas, cansaço,
172;Mioflex;Como funciona Mioflex?;Antes de usar Mioflex​-A, deverá falar com o seu médico se tiver mais de 65 anos, estiver a tomar outros medicamentos, tiver historial de má digestão ou se tiver hemorragias no estômago ou intestinos ou de úlcera péptica.; Mioflex é um suplemento alimentar que auxilia na flexibilidade muscular, pois contém uma fórmula especial que aumenta a produção de colágeno tipo I e elastina, proteínas essenciais para a formação de tendões e ligamentos. Além disso, Mioflex também contém vitaminas e minerais que auxiliam na absorção de ferro e outras vitaminas importantes para o metabolismo.  Como usar Mioflex pela primeira vez?  Antes de usar Mioflex pela primeira vez, é recomendado que leia as seguintes instruções: 1. Retire a tampa protetora do frasco. 2. Coloque o frasco de Mioflex na posição vertical, com a tampa protetora para cima, e com o bico para baixo. 3. Coloque o frasco de Mioflex na posição horizontal, com o bico para cima, e com o conta-gotas para baixo. 4. Pressione o bico do frasco para iniciar a liberação do
187;Belviq;Quando não devo usar Belviq?;Belviq contém como princípio ativo Cloridrato de Lorcaserina, que aumenta o efeito de uma substância, chamada Serotonina, na área cerebral responsável pelo apetite. O efeito esperado é que, com o consumo regular do medicamento, a pessoa se sinta continuamente mais saciada, o que fará com que ingira menos alimentos e leve à perda de peso.; Belviq é um medicamento que pode ser usado por adultos com mais de 18 anos de idade, para ajudar a perder peso.  Não deve ser usado por crianças ou adolescentes com menos de 18 anos de idade, mulheres grávidas ou que estejam a amamentar e pessoas com alergia a qualquer componente da fórmula.   Como usar Belviq pela primeira vez:  A dose recomendada é de 50 mg, uma vez por dia, de preferência sempre à mesma hora.  A dose pode ser aumentada para 100 mg, caso não se verifique perda de pelo menos 2 kg em 4 semanas.  A dose máxima recomendada é de 100 mg por dia.  A dose deve ser tomada sempre à mesma hora, com um copo de água e com ou sem alimentos.  Se você já usou outros medicamentos para perder peso, a dose inicial deve ser de 50 mg, uma vez por
214;Tylenol Bebê;Há alguma condição específica em que o uso de Tylenol Bebê é desaconselhado?;Tylenol é um medicamento analgésico e antitérmico, responsável por reduzir a febre, através da sua atuação no centro regulador da temperatura no Sistema Nervoso Central, diminuindo também a sensibilidade para a dor. O Paracetamol, um dos princípios ativos do Tylenol, é uma substância com ação analgésica, que atua através da elevação do limiar da dor, e com ação contra a febre, uma vez que atua no centro hipotalâmico que regula a temperatura.; Não há nenhuma condição específica em que o uso de Tylenol Bebê é desaconselhado. Tylenol Bebê pode ser usado em bebês e crianças de qualquer idade, desde que seja feito de acordo com as instruções dadas na embalagem.  Como você não me perguntou qual a sua dúvida, peço que a próxima pergunte concreta.  Você pode trocar de um medicamento para outro, porém, o uso de Tylenol Bebê não é recomendado em crianças com mais de 12 anos de idade.  Não há relatos de reações adversas associadas ao uso de Tylenol Bebê.  Não há relatos de superdosagem associados ao uso de Tylenol Bebê.  Tylenol Bebê deve ser administrado de acordo com as instruções dadas na embalagem.  Tylenol Bebê deve ser administrado de acordo com as seguintes instruções de utilização: começar por retirar a
388;Aspirina;Há alguma condição específica em que o uso de Aspirina é desaconselhado?;Aspirina tem na sua composição Ácido Acetilsalicílico, um composto com propriedades antitérmicas, analgésicas e anti-inflamatórias, capaz de proporcionar o alivio da febre, dor e inflamação. O ácido acetilsalicílico é um composto que inibe a formação excessiva de substâncias mensageiras da dor, as prostaglandinas, reduzindo desta forma a susceptibilidade à dor, sendo utilizado para o alivio dos sintomas causados por diversas doenças, como artrite, gripes ou resfriados.; Não há nenhuma condição específica em que o uso de Aspirina é desaconselhado. O uso de Aspirina é aconselhado para o tratamento de todas as condições que necessitem de um anti-inflamatório não esteroidal.  Como usar:  A dose usual é de 1 comprimido de 100 mg, 3 vezes ao dia. A dose máxima diária é de 300 mg.  Não há necessidade de se ajustar a dose em pacientes com insuficiência renal ou hepática.  Em pacientes com insuficiência hepática, a dose máxima diária é de 150 mg.  Em pacientes idosos, a dose máxima diária é de 100 mg.  Como usar:  A dose usual é de 1 comprimido de 100 mg, 3 vezes ao dia. A dose máxima diária é de 300 mg.  Não há necessidade de se ajust
341;Sulfiram;Em que situações médicas é recomendado o uso de Sulfiram?;Uso em escabiose (sarna): Tomar banho, preferivelmente morno. Em seguida juntar numa vasilha, uma parte de Sulfiram solução com duas (adultos) ou três (crianças) partes iguais de água (por exemplo: para cada colher do produto, acrescentar 2 (adultos) ou 3 (crianças) colheres de água. Usando uma esponja ou algodão, espalhar o líquido preparado por todas as regiões afetadas do corpo. Esperar secar bem, antes de se vestir. Normalmente uma aplicação é suficiente para eliminar a sarna, mas em alguns casos é necessário repetir a aplicação por 2 ou 3 dias seguidos. Uso em pediculoses (piolhos) e ftiríase (chatos e carrapatos): Lavar a área infestada e espalhar com esponja ou algodão, a solução de Sulfiram, previamente preparada conforme as instruções na parte sobre sarna, ou seja, para cada quantidade de Sulfiram Solução, juntar 2 vezes (adultos) ou 3 vezes (crianças) a mesma medida de água. Depois de 8 horas, lavar a área infestada para remover o líquido aplicado, em seguida, no caso de piolhos, passar pente fino, para remover os parasitas. Depois de 7 dias repetir o tratamento a critério médico. Deve-se tratar todos os familiares, para se evitar transmissão dos parasitas. Superdosagem: no caso de ingestão acidental de Sulfiram Solução o tratamento é sintomático.;" O Sulfiram é um medicamento que pode ser usado em situações médicas como:  Distúrbios do sono;	Transtornos de humor;	Distúrbios do comportamento;	Distúrbios do apetite;	Distúrbios da fadiga;	Distúrbios da memória;	Distúrbios da concentração;	Distúrbios da coordenação;	Distúrbios da movimentação;	Distúrbios da pressão sanguínea;	Distúrbios da circulação;	Distúrbios da nutrição;	Distúrbios da digestão;	Distúrbios da salivação;	Distúrbios da menstruação;	Distúrbios da gravidez;	Distúrbios da lactação.  Além disso, também pode ser usado no tratamento de casos de intoxicação por paracetamol.   A dose recomendada de Sulfiram é de 1 comprimido de 500 mg, 3 vezes ao dia, durante 30 dias."
65;Desalex;Quais são as orientações específicas para utilizar Desalex?;Os efeitos colaterais mais comuns são cansaço, boca seca, dor de cabeça ou aumento do batimento cardíaco.;" Para utilizar Desalex, você deve: 1. Lavar bem as mãos;	2. Remover a tampa protetora do frasco;	3. Encaixar o bico do frasco no adaptador;	4. Tampar o frasco;	5. Descarregar o frasco;	6. Apertar o frasco até ser expelido todo o líquido;	7. Você deve usar o medicamento exclusivamente por via oral;	8. A posologia recomendada é de 1 colher de chá (5 ml) antes das refeições.  Não utilize Desalex se for alérgico a qualquer um dos componentes da fórmula.  Desalex não deve ser utilizado por mulheres grávidas sem orientação médica.  Não utilizar Desalex se você já teve alguma reação alérgica ou incomum ao medicamento.  Desalex não deve ser utilizado por crianças menores de 12 anos de idade.  Desalex não"
19;Vitacid Plus;Como Vitacid Plus atua no organismo para produzir seus efeitos?;Não deve ser utilizado por mulheres grávidas, mães lactantes, crianças e idosos, sem orientação médica.; Vitacid Plus é um suplemento de vitaminas e minerais que atua no organismo para produzir seus efeitos. A vitamina A é essencial para a formação e manutenção da retina, o tecido que se encontra na parte de trás da camada interna do olho, responsável por captar e transmitir a luz para o cérebro. A vitamina C é essencial para a formação de colágeno, que é uma proteína vital para a integridade estrutural das membranas celulares e para a formação de ossos. A vitamina D é essencial para a absorção do cálcio nos ossos, para a manutenção de seus níveis saudáveis e para a prevenção de rickets. A vitamina E é essencial para a manutenção da integridade das membranas celulares e para a prevenção de anemia perniciosa. A vitamina B12 é essencial para a manutenção da integridade das membranas celulares e para a preven
47;Dimorf;Quais os males que Dimorf pode me causar?;O Dimorf é contra-indicado em pessoas com conhecida hipersensibilidade à morfina, ou a algum componente da fórmula, pessoas com obstrução gastrintestinal e íleo-paralítico, menores de 18 anos, grávidas e lactantes.;" Dimorf é um medicamento que age no organismo diminuindo a produção de hormônios sexuais, podendo causar os seguintes males:  Infertilidade;	Mau funcionamento do sistema imune;	Mau funcionamento do sistema nervoso;	Mau funcionamento dos rins;	Mau funcionamento do fígado;	Mau funcionamento dos ossos;	Mau funcionamento dos olhos;	Mau funcionamento das glândulas produtoras de hormônios;	Mau funcionamento da tireoide;	Mau funcionamento da hipófise;	Mau funcionamento da hipófise-supra-renal;	Mau funcionamento da hipófose-supra-renal-adrenal;	Mau funcionamento da hipófose-supra-renal-adrenal-cortical;	Mau funcionamento da hipófose-supra-renal-adrenal-cortical-hiperplasia;	Mau funcionamento da hipófose-supra-renal-adren"
343;Flagass;Quais são as instruções para o uso correto de Flagass?;Alguns dos efeitos colaterais de Flagass podem incluir inflamação na pele ou urticária na pele.; Flagass deve ser usado de acordo com as seguintes instruções:  Antes de usar Flagass, deve-se lavar bem as mãos e as do restante do corpo com água e sabão neutro.  Se Flagass for usado na pele, deve-se lavar bem o restante do corpo com água e sabão neutro.  Flagass deve ser usado de uma a oito colheres de chá ao dia, de acordo com a idade e orientação médica.  A dose diária de Flagass deve ser dividida em duas a quatro vezes ao dia.  Flagass pode ser usado com ou sem alimentos.  A duração do tratamento com Flagass deve ser indicada pelo seu médico.  Não interrompa o tratamento sem o conhecimento do seu médico.  Como usar Flagass pela primeira vez:  Deve-se lavar bem as mãos e o restante do corpo com água e sabão neutro.	Deve-se lavar bem o garganta com água e sabão neutro.	Deve-
551;Thiaben;Existem situações em que o uso de Thiaben não é recomendado?;Thiaben é um medicamento que tem na sua composição Tiabendazol, um derivado benzimidazólico, que possui atividade anti-helmíntica de amplo espectro, atuando principalmente em parasitoses causadas por Strongyloides stercoralis, Ancylostoma braziliense, A. caninum, Toxocara canis e T. cati. Thiaben age inibindo a enzima fumarato redutase mitocondrial e interfere na polimerização dos microtúbulos do parasita.;" Existem situações em que o uso de Thiaben não é recomendado, como por exemplo:  Em casos de alergia a qualquer componente da fórmula;	Em casos de doenças hepáticas graves;	Em casos de doenças renais graves;	Em casos de hipertensão arterial grave;	Em casos de diabetes mellitus com lesão de vasos sanguíneos;	Em casos de doenças do coração;	Em casos de doenças da tireoide;	Em casos de doenças do sistema nervoso;	Em casos de doenças da pele;	Em casos de doenças ósseas;	Em casos de doenças do sangue;	Em casos de doenças gastrintestinais;	Em casos de doenças respiratórias;	Em casos de doenças do fígado;	Em casos de doenças do sistema imune.  Nestes casos, o uso de Thiaben não é recomendado.  Veja outros remédios que podem ser us"
159;Femostoni;Para que serve Femostoni?;Como usar Femoston Conti pela primeira vez:; Femostoni é um medicamento que auxilia na prevenção e tratamento da endometriose, que é a formação de revestimento adicional da parede do útero, por parte de células que se multiplicam e crescem fora do útero.  Além disso, Femostoni também auxilia na prevenção e tratamento de outras doenças que podem surgir na endometriose, como por exemplo, a dor pélvica, sangramento uterino irregular, inchaço pélvico, inchaço abdominal e dor abdominal.   A dose recomendada de Femostoni é de 1 comprimido por dia, de preferência sempre à mesma hora, de acordo com as indicações dadas pelo médico.  Os comprimidos de Femostoni devem ser engolidos inteiros, juntamente com um copo de água, sem partir ou mastigar.   Alguns dos efeitos colaterais de Femostoni podem incluir dor de cabeça, dor abdominal, náusea, vômito, di
501;Sovaldi;Há alguma condição específica em que o uso de Sovaldi é desaconselhado?;Sovaldi atua diminuindo a quantidade de vírus da hepatite C no seu organismo e removendo o vírus do seu sangue durante um período de tempo.; Não há nenhuma condição específica em que o uso de Sovaldi é desaconselhado. Este medicamento pode ser usado em adultos com ou sem insuficiência hepática.  Como Sovaldi é um medicamento para uso oral, não há necessidade de ajuste de dose para pacientes com insuficiência renal.  Como Sovaldi é um medicamento para uso oral, não há necessidade de ajuste de dose para pacientes com insuficiência hepática.  Como Sovaldi é um medicamento para uso oral, não há necessidade de ajuste de dose para pacientes idosos.  Como Sovaldi é um medicamento para uso oral, não há necessidade de ajuste de dose para pacientes com insuficiência renal.  Como Sovaldi é um medicamento para uso oral, não há necessidade de ajuste de dose para pacientes com insuficiência hepática.  Como Sovaldi é um medicamento para uso oral, não há necessidade de ajuste de dose
274;Concor;Qual é a finalidade do medicamento Concor?;No tratamento da pressão alta e angina de peito, deve-se tomar 5 mg uma vez ao dia, podendo ser aumentada para 10 mg caso o médico considere necessário.; Concor é indicado para o tratamento da hipertensão arterial leve a moderada.  Além disso, também é indicado para o tratamento da angina pectoris crônica, reduzindo a frequência e a intensidade das crises de angina.  Concor é ainda indicado para o tratamento da insuficiência cardíaca congestiva, melhorando a função cardíaca e a qualidade de vida.   A dose inicial de Concor é de 10 mg uma vez ao dia.  A dose de manutenção é de 20 mg uma vez ao dia.  A dose máxima é de 40 mg uma vez ao dia.  Veja como melhorar o efeito deste remédio.   Os efeitos colaterais mais comuns de Concor são tontura, dor de cabeça, vertigem, náusea, vômito, diarreia, prisão de ventre, sonolência, cansaço, dor abdominal, erupção cutânea, coceira, urticária, aument
108;Biamotil colírio;Quais são os riscos para a saúde relacionados ao uso de Biamotil colírio?;Este remédio é contraindicado em pacientes com história de hipersensibilidade  ao ciprofloxacino, a outros derivados quinolônicos ou a qualquer um dos demais componentes de sua fórmula.; Os riscos para a saúde relacionados ao uso de Biamotil colírio não foram completamente estudados e conhecidos.  Informe ao seu médico o aparecimento de reações desagradáveis.  Não use Biamotil colírio se tiver alergia a qualquer um dos componentes da fórmula.  Não há dados disponíveis sobre o uso de Biamotil colírio em crianças.  Não há dados disponíveis sobre o uso de Biamotil colírio em idosos.  Não há dados disponíveis sobre o uso de Biamotil colírio em pacientes portadores de doenças.  Não há dados disponíveis sobre o uso de Biamotil colírio em pacientes com doenças nos rins.  Não há dados disponíveis sobre o uso de Biamotil colírio em pacientes com doenças no coração.  Não há dados disponíveis sobre o uso de Biamotil colírio em pacientes com doenças relacionadas
273;Umckan;Quais são as contraindicações para Umckan?;O Umckan é um fitomedicamento que atua nas infecções das vias respiratórias.; Não há contraindicações para o uso de Umckan. Este medicamento é de uso exclusivamente tópico.  Não há relatos de reações adversas com o uso de Umckan.  Não há relatos de superdosagem com o uso de Umckan.  Cada grama de Umckan contém:  Palmitato de retinol (vit. A) 1.000 UI  Cloreto de colina (vit. B1) 10 mg  Ácido ascórbico (vit. C) 100 mg  Ácido fólico 1 mg  Excipientes: cera auto-emulsionante, óleo mineral, óleo mineral hidrogenado, óleo mineral parcialmente hidrogenado, óleo mineral anidro, óleo mineral hidrogenado anidro, propilenoglicol, metilparabeno, propilparabeno, edetato dissódico, água purificada.  Umckan deve ser armazenado em temper
